bin,frequency_cycles_per_pixel,raw_fft_magnitude_px,amplitude_px,preprocessing
0,0.0,3.216995523246578,0.08093070498733528,linear_detrend_then_hann
1,0.00625,6.161832100641989,0.15501464404130788,linear_detrend_then_hann
2,0.0125,5.467600036410361,0.13754968645057508,linear_detrend_then_hann
3,0.018750000000000003,0.5803446709767848,0.014599865936522885,linear_detrend_then_hann
4,0.025,1.4093471422832518,0.03545527401970444,linear_detrend_then_hann
5,0.03125,1.623050095165424,0.04083144893497922,linear_detrend_then_hann
6,0.037500000000000006,4.2389761670373,0.10664090986257356,linear_detrend_then_hann
7,0.043750000000000004,4.441292072730423,0.11173061818189742,linear_detrend_then_hann
8,0.05,2.252990987614244,0.05667901855633318,linear_detrend_then_hann
9,0.05625,3.1871141070498625,0.0801789712465374,linear_detrend_then_hann
10,0.0625,2.0463020692229055,0.05147929733894101,linear_detrend_then_hann
11,0.06875,0.9870208904810583,0.02483071422593857,linear_detrend_then_hann
12,0.07500000000000001,1.4820366324759484,0.037283940439646494,linear_detrend_then_hann
13,0.08125,0.8482280139913461,0.02133906953437348,linear_detrend_then_hann
14,0.08750000000000001,2.3869298581967002,0.060048549891740875,linear_detrend_then_hann
15,0.09375,1.3928494968926899,0.03504023891553936,linear_detrend_then_hann
16,0.1,0.37628410797826284,0.00946626686737768,linear_detrend_then_hann
17,0.10625000000000001,1.0787832520376333,0.027139201309122844,linear_detrend_then_hann
18,0.1125,0.2930569561276415,0.0073725020409469546,linear_detrend_then_hann
19,0.11875000000000001,1.710271076632483,0.043025687462452396,linear_detrend_then_hann
20,0.125,1.7777468755327144,0.04472319183730098,linear_detrend_then_hann
21,0.13125,1.1986324788188798,0.030154276196701375,linear_detrend_then_hann
22,0.1375,0.6470739044352,0.016278588790822637,linear_detrend_then_hann
23,0.14375000000000002,0.5748405459561419,0.014461397382544447,linear_detrend_then_hann
24,0.15000000000000002,0.90505757740264,0.022768744085601002,linear_detrend_then_hann
25,0.15625,0.597020208705404,0.0150193763196328,linear_detrend_then_hann
26,0.1625,0.8472441337817257,0.021314317830986806,linear_detrend_then_hann
27,0.16875,0.7502069512505037,0.01887313084906927,linear_detrend_then_hann
28,0.17500000000000002,0.43895850409653236,0.011042981235132887,linear_detrend_then_hann
29,0.18125000000000002,1.1911718641856868,0.029966587778256264,linear_detrend_then_hann
30,0.1875,2.4998075520669847,0.06288824030357193,linear_detrend_then_hann
31,0.19375,1.4569074633644674,0.03665176008464068,linear_detrend_then_hann
32,0.2,0.18393687739820128,0.004627342827627705,linear_detrend_then_hann
33,0.20625000000000002,0.41069649255619034,0.010331987234117995,linear_detrend_then_hann
34,0.21250000000000002,0.9710675846165169,0.02442937319789979,linear_detrend_then_hann
35,0.21875,2.0070526376988056,0.05049189025657372,linear_detrend_then_hann
36,0.225,1.3484935062436314,0.0339243649369467,linear_detrend_then_hann
37,0.23125,0.3636674996609772,0.009148867915999425,linear_detrend_then_hann
38,0.23750000000000002,0.36799560026523687,0.00925775095006885,linear_detrend_then_hann
39,0.24375000000000002,2.4447033553119195,0.06150197120281557,linear_detrend_then_hann
40,0.25,4.143054675377461,0.1042277905755336,linear_detrend_then_hann
41,0.25625000000000003,2.4944637887739805,0.06275380600689258,linear_detrend_then_hann
42,0.2625,0.1521032525362459,0.0038264969191508396,linear_detrend_then_hann
43,0.26875,0.4866374262840183,0.01224245097569857,linear_detrend_then_hann
44,0.275,0.784862235777252,0.01974496190634596,linear_detrend_then_hann
45,0.28125,1.563578403753147,0.03933530575479614,linear_detrend_then_hann
46,0.28750000000000003,0.93103413976815,0.02342224250989056,linear_detrend_then_hann
47,0.29375,0.2537180109550235,0.006382843042893672,linear_detrend_then_hann
48,0.30000000000000004,0.0945161785907249,0.002377765499137733,linear_detrend_then_hann
49,0.30625,0.635936407382574,0.01599840018572513,linear_detrend_then_hann
50,0.3125,0.2690575753686697,0.006768744034431941,linear_detrend_then_hann
51,0.31875000000000003,0.9498726684527855,0.0238961677598185,linear_detrend_then_hann
52,0.325,0.4112085239900804,0.010344868528052335,linear_detrend_then_hann
53,0.33125000000000004,0.071444518946644,0.0017973463885948171,linear_detrend_then_hann
54,0.3375,0.30668039722413903,0.0077152301188462636,linear_detrend_then_hann
55,0.34375,0.9242106527667455,0.023250582459540765,linear_detrend_then_hann
56,0.35000000000000003,0.6951721039465373,0.01748860638859213,linear_detrend_then_hann
57,0.35625,0.30061650164760945,0.007562679286732312,linear_detrend_then_hann
58,0.36250000000000004,0.08681700212948165,0.0021840755252699783,linear_detrend_then_hann
59,0.36875,0.24064050918603025,0.0060538492876988734,linear_detrend_then_hann
60,0.375,0.3376082539442791,0.008493289407403248,linear_detrend_then_hann
61,0.38125000000000003,0.20754168327859282,0.005221174422102963,linear_detrend_then_hann
62,0.3875,0.10734838812271282,0.002700588380445605,linear_detrend_then_hann
63,0.39375000000000004,0.1598678913948654,0.0040218337457827765,linear_detrend_then_hann
64,0.4,0.21136053105752609,0.005317246064340278,linear_detrend_then_hann
65,0.40625,0.329246929501117,0.008282941622669609,linear_detrend_then_hann
66,0.41250000000000003,0.2944991017419063,0.007408782433758648,linear_detrend_then_hann
67,0.41875,0.21142570039998468,0.005318885544653701,linear_detrend_then_hann
68,0.42500000000000004,0.10750462679965254,0.0027045189131988056,linear_detrend_then_hann
69,0.43125,0.23169551242337016,0.0058288179226005064,linear_detrend_then_hann
70,0.4375,0.3446193174000341,0.008669668362265006,linear_detrend_then_hann
71,0.44375000000000003,0.2093385954627558,0.005266379760069328,linear_detrend_then_hann
72,0.45,0.058522466514487906,0.001472263308540576,linear_detrend_then_hann
73,0.45625000000000004,0.378369642499083,0.009518733144631017,linear_detrend_then_hann
74,0.4625,0.5355701207159523,0.013473462156376157,linear_detrend_then_hann
75,0.46875,0.9845400286379967,0.024768302607245198,linear_detrend_then_hann
76,0.47500000000000003,0.5131392688475308,0.012909163996164295,linear_detrend_then_hann
77,0.48125,0.25596567307370105,0.006439388001854113,linear_detrend_then_hann
78,0.48750000000000004,0.23614206641576635,0.005940680916119907,linear_detrend_then_hann
79,0.49375,1.0371617726681879,0.02609212006712422,linear_detrend_then_hann
80,0.5,0.293147280536155,0.007374774353110816,linear_detrend_then_hann
