bin,frequency_cycles_per_pixel,raw_fft_magnitude_px,amplitude_px,preprocessing
0,0.0,11.057119204730228,0.27816652087371635,linear_detrend_then_hann
1,0.00625,13.706545292380968,0.34481874949386077,linear_detrend_then_hann
2,0.0125,12.087911964443764,0.30409841419984307,linear_detrend_then_hann
3,0.018750000000000003,8.018934313642957,0.2017341965696341,linear_detrend_then_hann
4,0.025,18.994025871452408,0.4778371288415699,linear_detrend_then_hann
5,0.03125,42.35759076681575,1.0655997677186348,linear_detrend_then_hann
6,0.037500000000000006,27.27244238614881,0.6860991795257562,linear_detrend_then_hann
7,0.043750000000000004,6.190644330900662,0.15573948002265814,linear_detrend_then_hann
8,0.05,3.3419726750779963,0.08407478427869172,linear_detrend_then_hann
9,0.05625,5.788040986054853,0.14561109398880132,linear_detrend_then_hann
10,0.0625,12.188336144775949,0.30662480867360875,linear_detrend_then_hann
11,0.06875,9.76832422501615,0.24574400566078358,linear_detrend_then_hann
12,0.07500000000000001,3.549493028339618,0.08929542209659415,linear_detrend_then_hann
13,0.08125,0.8609214302185636,0.021658400760215434,linear_detrend_then_hann
14,0.08750000000000001,6.321870524962546,0.15904076792358604,linear_detrend_then_hann
15,0.09375,11.808958223099403,0.29708071001507924,linear_detrend_then_hann
16,0.1,6.827361357342629,0.1717575184237139,linear_detrend_then_hann
17,0.10625000000000001,1.6425295914150728,0.04132149915509616,linear_detrend_then_hann
18,0.1125,0.5215292959322292,0.013120233859930292,linear_detrend_then_hann
19,0.11875000000000001,1.9205204542604206,0.048314979981394224,linear_detrend_then_hann
20,0.125,3.5042313399309992,0.08815676326870436,linear_detrend_then_hann
21,0.13125,2.6250916208917796,0.06604004077715167,linear_detrend_then_hann
22,0.1375,1.0061172546613801,0.02531112590343094,linear_detrend_then_hann
23,0.14375000000000002,0.9217932712277986,0.02318976782963015,linear_detrend_then_hann
24,0.15000000000000002,1.6985130372411739,0.0427298877293377,linear_detrend_then_hann
25,0.15625,3.7376126905737315,0.09402799221569134,linear_detrend_then_hann
26,0.1625,2.0602456683997405,0.051830079708169566,linear_detrend_then_hann
27,0.16875,0.3386036005785025,0.008518329574301948,linear_detrend_then_hann
28,0.17500000000000002,0.6364566962701468,0.01601148921434331,linear_detrend_then_hann
29,0.18125000000000002,1.5226931946749325,0.03830674703584735,linear_detrend_then_hann
30,0.1875,2.3419793030144267,0.05891771831482833,linear_detrend_then_hann
31,0.19375,1.6001157178927607,0.04025448346900026,linear_detrend_then_hann
32,0.2,0.3667913928923751,0.00922745642496541,linear_detrend_then_hann
33,0.20625000000000002,0.7454299324522365,0.01875295427552796,linear_detrend_then_hann
34,0.21250000000000002,2.1313605846766612,0.05361913420570216,linear_detrend_then_hann
35,0.21875,4.451990611447112,0.11199976380999022,linear_detrend_then_hann
