"checkpoint","dense_count","mae_px","rmse_px","bias_px","debiased_mae_px","max_abs_error_px","adjacent_step_mean_px","adjacent_step_mae_vs1_px","nonmonotonic_fraction","detrended_residue_mean_peak_to_peak_p2_px","detrended_residue_mean_peak_to_peak_p4_px","detrended_residue_mean_peak_to_peak_p8_px","detrended_residue_mean_peak_to_peak_p16_px","detrended_residue_mean_peak_to_peak_p32_px","fft_target_bin_amplitude_p2_px","fft_target_bin_noise_ratio_p2","fft_target_bin_amplitude_p4_px","fft_target_bin_noise_ratio_p4","fft_target_bin_amplitude_p8_px","fft_target_bin_noise_ratio_p8","fft_target_bin_amplitude_p16_px","fft_target_bin_noise_ratio_p16","fft_target_bin_amplitude_p32_px","fft_target_bin_noise_ratio_p32"
"ep10","160","2.8894684220664204","3.0916144845130074","2.858956888411194","0.9197395234310534","4.969724357128143","1.0166184527319182","0.31058219093946543","0.006289308176100629","0.1201989694149329","0.24473778015236394","0.26515412299196256","0.4350323670776751","2.5492874601857403","0.12375026747756003","4.666155352031243","0.10394173535401435","3.9192503952324547","0.003932065110059153","0.1461090880624119","0.07891096726568395","2.9754346374039313","0.8470983585595218","31.94088077592354"
"ep20","160","3.0258598535321655","3.209855560256812","-3.0258598535321655","0.8654486447770614","5.610228016972542","1.015933630601415","0.3410061050511006","0.012578616352201259","0.08609873526825147","0.4532507662205263","0.5805528948596932","0.8308709334980904","2.595401298144406","0.07526527989875116","3.4195183155750017","0.2609421561565267","11.855353271564471","0.08815676326870436","4.005215512978461","0.30662480867360875","13.930847672121434","1.0655997677186348","48.41326475751005"
"ep40","160","3.4552818506024776","3.469147358206663","-3.4552818506024776","0.24409378534182907","4.206055223941803","1.0044628599154874","0.16573232974646226","0.0","0.03993975640379689","0.19846158047927814","0.2270443441511531","0.37301784631676443","0.8058458763069605","0.030249320728975064","1.9680459089476166","0.11712574392461446","7.620298096230803","0.046183454952935424","3.0047339044585137","0.09815569441285256","6.386090932749095","0.2578362366183567","16.77503951912377"
"ep60","160","0.2612113022245467","0.3054770181902593","0.18051374265924097","0.1909005566115957","0.7636724561452866","0.9979570496757075","0.1507169135711478","0.0","0.02431687936575342","0.17526397518036507","0.19777184834235134","0.3161851580952926","0.40425148890748297","0.007374774353110816","0.46096948866744164","0.1042277905755336","6.939555169097847","0.04472319183730098","2.977699665121274","0.05147929733894101","3.4275256337807503","0.04083144893497922","2.718584851063741"
"best","160","0.20039438297972084","0.24630971795876874","0.05937726804986596","0.19150703036808409","0.6676023900508881","0.9982994607409591","0.16376845641705975","0.0","0.0388989650059243","0.20666804120471083","0.24545893475939828","0.33528964698841174","0.4078582209296028","0.022545898803374303","1.6817438063837555","0.11661442876956281","8.698504106158788","0.061814785085101936","4.6108887858688785","0.033640785853540876","2.509333681680829","0.06768780885047877","5.048969406575331"
