period,target_frequency,nearest_bin,amplitude,local_peak_bin,local_peak_frequency,local_peak_amplitude,target_neighborhood_bins,noise_floor_median_amplitude,peak_noise_ratio,peak_energy_share_non_dc,global_nonzero_peak_frequency,global_nonzero_peak_amplitude,preprocessing
2,0.5,80,0.0003579465046033958,79,0.49375,0.0013983952111069368,78-80,0.0015710689032985834,0.8900915855255588,8.172116075546611e-05,0.0625,0.07576066016094754,linear_detrend_then_hann
4,0.25,40,0.00042371787155202326,38,0.23750000000000002,0.0022152428392890056,38-42,0.0014987824621737434,1.4780282630717145,0.00020507718780286846,0.0625,0.07576066016094754,linear_detrend_then_hann
8,0.125,20,0.008680250431810532,19,0.11875000000000001,0.010376556272180875,18-22,0.0013907984629899384,7.4608626255405515,0.00449967515417867,0.0625,0.07576066016094754,linear_detrend_then_hann
16,0.0625,10,0.07576066016094754,10,0.0625,0.07576066016094754,8-12,0.0013983952111069368,54.17685898750839,0.23986239807633408,0.0625,0.07576066016094754,linear_detrend_then_hann
32,0.03125,5,0.07010196680031691,5,0.03125,0.07010196680031691,3-7,0.0013907984629899384,50.404115812446115,0.20536908883139007,0.0625,0.07576066016094754,linear_detrend_then_hann
