epoch,train_mse,val_mse,val_mae,lr
1.0,0.40487777098300465,0.05095475604872644,0.19120711338372878,0.001
2.0,0.00457450380594826,0.13342599316879555,0.3047835185204023,0.001
3.0,0.0038967389360438157,0.19666739602883657,0.3905439035392102,0.001
4.0,0.0014236721313662,0.20000942169148245,0.39771319966257357,0.001
5.0,0.005604443212764131,0.15782920512152307,0.36306813911155417,0.001
6.0,0.0017950131884850791,0.03128347781337338,0.1554889355176761,0.001
7.0,0.002701149132378675,0.0029515542337142024,0.045380689921202484,0.001
8.0,0.0022348608936608575,0.00048495146322328553,0.021294196005220766,0.001
9.0,0.0020224190897733707,0.001061720861248488,0.03223787531440641,0.001
10.0,0.003838906163798162,0.00017874908560231603,0.012370586763193577,0.001
11.0,0.003621528362571463,0.006035198665649434,0.07700369505234707,0.001
12.0,0.0026896448644958895,0.0011532608267310776,0.03286674405321663,0.001
13.0,0.006070799824931188,0.00045079493213927855,0.018555284944581397,0.001
14.0,0.008936984717010888,0.008452285039756034,0.09073298831044892,0.001
15.0,0.006846257164660427,0.000760908706119445,0.024451024738358862,0.0005
16.0,0.0008279868341223509,0.0011259590614771033,0.03256111557101026,0.0005
17.0,0.0012686147756966544,0.0017431591349987335,0.04111600393130455,0.0005
18.0,0.001660573094462355,0.004650784048171323,0.06807875515502176,0.0005
19.0,0.003017698489072054,0.0011512120524536313,0.03322197301888172,0.0005
20.0,0.0020872589959590525,0.00022479920104766886,0.014035609033372667,0.00025
