period,target_frequency,nearest_bin,amplitude,local_peak_bin,local_peak_frequency,local_peak_amplitude,target_neighborhood_bins,noise_floor_median_amplitude,peak_noise_ratio,peak_energy_share_non_dc,global_nonzero_peak_frequency,global_nonzero_peak_amplitude,preprocessing
2,0.5,80,0.005668352526580239,80,0.5,0.005668352526580239,78-80,0.00172807718308492,3.2801500893966082,0.0011352592980935618,0.00625,0.12614311814021018,linear_detrend_then_hann
4,0.25,40,0.02066286002149363,41,0.25625000000000003,0.02749244265936786,38-42,0.0014669842177150107,18.74078966043027,0.026705949243148636,0.00625,0.12614311814021018,linear_detrend_then_hann
8,0.125,20,0.008486927383671452,19,0.11875000000000001,0.011664925576575927,18-22,0.001721127918527441,6.777489023916467,0.0048077879872328,0.00625,0.12614311814021018,linear_detrend_then_hann
16,0.0625,10,0.028676830230854457,10,0.0625,0.028676830230854457,8-12,0.0014669842177150107,19.54815183732636,0.02905652366937769,0.00625,0.12614311814021018,linear_detrend_then_hann
32,0.03125,5,0.016023180100666827,3,0.018750000000000003,0.052895601593013646,3-7,0.0014669842177150107,36.05737604689733,0.09885997243802708,0.00625,0.12614311814021018,linear_detrend_then_hann
