period,residue,signal,mean_error,mae,std,mean_error_px,mae_px,std_px,count,std_definition
16,13,detrended,-0.0006504921552999193,0.0023360388669590587,0.0027128955597761845,-0.14505975063188203,0.5209366673318703,0.6049757098300892,10,sample_ddof1; count=1 written as 0; empty=nan
16,14,detrended,-0.0004305024405503263,0.0026282928985663936,0.003067428710727917,-0.09600204424272274,0.5861093163803057,0.6840366024923255,10,sample_ddof1; count=1 written as 0; empty=nan
16,15,detrended,0.0008555610494907096,0.002545857971380677,0.0032548867975245375,0.19079011403642826,0.5677263276178911,0.7258397558479718,10,sample_ddof1; count=1 written as 0; empty=nan
32,0,raw,0.00182780921459198,0.0026286929845809937,0.003076773169316697,0.40760145485401156,0.5861985355615615,0.6861204167576235,5,sample_ddof1; count=1 written as 0; empty=nan
32,1,raw,0.0007855355739593506,0.0021319568157196047,0.002495270763783492,0.17517443299293517,0.4754263699054718,0.5564453803237187,5,sample_ddof1; count=1 written as 0; empty=nan
32,2,raw,0.00011250674724578857,0.00191400945186615,0.0025287395122345693,0.025089004635810853,0.42682410776615143,0.563908911228309,5,sample_ddof1; count=1 written as 0; empty=nan
32,3,raw,0.0006209254264831543,0.0021502017974853516,0.0024910386612845645,0.13846637010574342,0.4794950008392334,0.5555016214664579,5,sample_ddof1; count=1 written as 0; empty=nan
32,4,raw,0.0001817971467971802,0.003189137578010559,0.0041457443980771275,0.04054076373577118,0.7111776798963547,0.9245010007711993,5,sample_ddof1; count=1 written as 0; empty=nan
32,5,raw,-0.0007390230894088745,0.002809777855873108,0.0036485014536258723,-0.16480214893817902,0.6265804618597031,0.8136158241585696,5,sample_ddof1; count=1 written as 0; empty=nan
32,6,raw,-0.0008707463741302491,0.0024597704410552978,0.0031795268555266138,-0.19417644143104554,0.5485288083553315,0.709034488782435,5,sample_ddof1; count=1 written as 0; empty=nan
32,7,raw,-9.847581386566163e-05,0.002220752835273743,0.0029027371837692063,-0.021960106492042542,0.49522788226604464,0.6473103919805331,5,sample_ddof1; count=1 written as 0; empty=nan
32,8,raw,-0.0003889590501785278,0.0024164050817489626,0.003527751866637805,-0.0867378681898117,0.5388583332300186,0.7866886662602305,5,sample_ddof1; count=1 written as 0; empty=nan
32,9,raw,-0.0012641191482543946,0.0026581168174743654,0.003041008876410292,-0.28189857006073,0.5927600502967835,0.6781449794394951,5,sample_ddof1; count=1 written as 0; empty=nan
32,10,raw,-0.001260802149772644,0.002636638283729553,0.0028709229746960983,-0.2811588793992996,0.5879703372716903,0.6402158233572299,5,sample_ddof1; count=1 written as 0; empty=nan
32,11,raw,-0.000324675440788269,0.0023148924112319945,0.0027621409201672854,-0.072402623295784,0.5162210077047348,0.6159574251973047,5,sample_ddof1; count=1 written as 0; empty=nan
32,12,raw,-0.000659477710723877,0.0027465105056762697,0.0034309690849905054,-0.14706352949142457,0.6124718427658081,0.7651061059528828,5,sample_ddof1; count=1 written as 0; empty=nan
32,13,raw,-0.0011694133281707764,0.00297052264213562,0.00334775739814279,-0.26077917218208313,0.6624265491962433,0.7465498997858421,5,sample_ddof1; count=1 written as 0; empty=nan
32,14,raw,-0.0012949138879776,0.002908346056938171,0.003291337887294872,-0.28876579701900484,0.6485611706972122,0.7339683488667564,5,sample_ddof1; count=1 written as 0; empty=nan
32,15,raw,-4.3392181396484375e-05,0.002341163158416748,0.0032858281100044662,-0.009676456451416016,0.5220793843269348,0.7327396685309959,5,sample_ddof1; count=1 written as 0; empty=nan
32,16,raw,0.0004757523536682129,0.002305042743682861,0.0037021939556083545,0.10609277486801147,0.514024531841278,0.825589252100663,5,sample_ddof1; count=1 written as 0; empty=nan
32,17,raw,0.00012019872665405273,0.0025599122047424315,0.003451943205474678,0.02680431604385376,0.5708604216575622,0.7697833348208533,5,sample_ddof1; count=1 written as 0; empty=nan
32,18,raw,0.0003524035215377808,0.003141888976097107,0.0037908452572458008,0.07858598530292511,0.7006412416696548,0.8453584923658135,5,sample_ddof1; count=1 written as 0; empty=nan
32,19,raw,0.001319366693496704,0.0034373819828033446,0.004079600616417776,0.29421877264976504,0.7665361821651459,0.909750937461164,5,sample_ddof1; count=1 written as 0; empty=nan
32,20,raw,0.0005415290594100952,0.002913782000541687,0.0038147677033690125,0.12076098024845124,0.6497733861207962,0.8506931978512897,5,sample_ddof1; count=1 written as 0; empty=nan
32,21,raw,2.6497244834899903e-05,0.003000161051750183,0.003920146287936307,0.005908885598182678,0.6690359145402909,0.8741926222097963,5,sample_ddof1; count=1 written as 0; empty=nan
32,22,raw,-0.00023853778839111328,0.0028990030288696287,0.0037492375534807086,-0.05319392681121826,0.6464776754379272,0.8360799744261981,5,sample_ddof1; count=1 written as 0; empty=nan
32,23,raw,0.00016153156757354737,0.002629485726356506,0.003166860693366697,0.03602153956890106,0.5863753169775009,0.7062099346207734,5,sample_ddof1; count=1 written as 0; empty=nan
