bin,frequency_cycles_per_pixel,amplitude,preprocessing
0,0.0,0.08401403447664156,linear_detrend_then_hann
1,0.00625,0.0918371642272315,linear_detrend_then_hann
2,0.0125,0.10307883431378558,linear_detrend_then_hann
3,0.018750000000000003,0.07528388757360877,linear_detrend_then_hann
4,0.025,0.10836481945763238,linear_detrend_then_hann
5,0.03125,0.15234075205810343,linear_detrend_then_hann
6,0.037500000000000006,0.08735362551075598,linear_detrend_then_hann
7,0.043750000000000004,0.011652873718559326,linear_detrend_then_hann
8,0.05,0.017829896113092693,linear_detrend_then_hann
9,0.05625,0.0357417422087991,linear_detrend_then_hann
10,0.0625,0.01330716654575653,linear_detrend_then_hann
11,0.06875,0.02728824041140663,linear_detrend_then_hann
12,0.07500000000000001,0.007285204900949053,linear_detrend_then_hann
13,0.08125,0.005826624371304511,linear_detrend_then_hann
14,0.08750000000000001,0.010146308680835402,linear_detrend_then_hann
15,0.09375,0.015930177757892086,linear_detrend_then_hann
16,0.1,0.012115260610367232,linear_detrend_then_hann
17,0.10625000000000001,0.0022259257486877703,linear_detrend_then_hann
18,0.1125,0.004928658343689086,linear_detrend_then_hann
19,0.11875000000000001,0.009494131322468626,linear_detrend_then_hann
20,0.125,0.0019070414353427297,linear_detrend_then_hann
21,0.13125,0.011791290761691896,linear_detrend_then_hann
22,0.1375,0.0028027020124665146,linear_detrend_then_hann
23,0.14375000000000002,0.003033081955102038,linear_detrend_then_hann
24,0.15000000000000002,0.011346957906459364,linear_detrend_then_hann
25,0.15625,0.030742759385987663,linear_detrend_then_hann
26,0.1625,0.018392673345335245,linear_detrend_then_hann
27,0.16875,0.0005337472383895166,linear_detrend_then_hann
28,0.17500000000000002,0.0005928931835831813,linear_detrend_then_hann
29,0.18125000000000002,0.005797700694248279,linear_detrend_then_hann
30,0.1875,0.015143532317215548,linear_detrend_then_hann
31,0.19375,0.010033801838512931,linear_detrend_then_hann
32,0.2,0.0013121536152814286,linear_detrend_then_hann
33,0.20625000000000002,0.0011773082867582894,linear_detrend_then_hann
34,0.21250000000000002,0.011368970651596708,linear_detrend_then_hann
35,0.21875,0.020705401903769172,linear_detrend_then_hann
36,0.225,0.009319912160383914,linear_detrend_then_hann
37,0.23125,0.000565647811217701,linear_detrend_then_hann
38,0.23750000000000002,0.0021540340981835156,linear_detrend_then_hann
39,0.24375000000000002,0.007504878786195226,linear_detrend_then_hann
40,0.25,0.019784561652623427,linear_detrend_then_hann
41,0.25625000000000003,0.015302625752031854,linear_detrend_then_hann
42,0.2625,0.002106591066186872,linear_detrend_then_hann
43,0.26875,0.0005924082432784139,linear_detrend_then_hann
44,0.275,0.005564385262217533,linear_detrend_then_hann
45,0.28125,0.010021672339829013,linear_detrend_then_hann
46,0.28750000000000003,0.0044404268711346565,linear_detrend_then_hann
47,0.29375,0.0011370629126443287,linear_detrend_then_hann
48,0.30000000000000004,0.0006926856720990852,linear_detrend_then_hann
49,0.30625,0.0007617059633365065,linear_detrend_then_hann
50,0.3125,0.0017847958645619685,linear_detrend_then_hann
51,0.31875000000000003,0.002554123292290288,linear_detrend_then_hann
52,0.325,0.0002929991899898718,linear_detrend_then_hann
53,0.33125000000000004,0.0008195205536645009,linear_detrend_then_hann
54,0.3375,0.0009256461822921352,linear_detrend_then_hann
55,0.34375,0.0011170333070178026,linear_detrend_then_hann
56,0.35000000000000003,0.0004899028370384977,linear_detrend_then_hann
57,0.35625,0.0007162472562094278,linear_detrend_then_hann
58,0.36250000000000004,0.0012390561215945874,linear_detrend_then_hann
59,0.36875,0.004476038563972413,linear_detrend_then_hann
60,0.375,0.008781520960380162,linear_detrend_then_hann
61,0.38125000000000003,0.006976052340660946,linear_detrend_then_hann
62,0.3875,0.0010234069994287086,linear_detrend_then_hann
63,0.39375000000000004,0.0005067456631792752,linear_detrend_then_hann
64,0.4,0.00521025241213068,linear_detrend_then_hann
65,0.40625,0.010607691210347107,linear_detrend_then_hann
66,0.41250000000000003,0.005192195296742601,linear_detrend_then_hann
67,0.41875,0.0004448727749516952,linear_detrend_then_hann
68,0.42500000000000004,0.00065076992944309,linear_detrend_then_hann
69,0.43125,0.002496833175349275,linear_detrend_then_hann
70,0.4375,0.006615883010841929,linear_detrend_then_hann
71,0.44375000000000003,0.00405527344866174,linear_detrend_then_hann
72,0.45,8.112279517967052e-05,linear_detrend_then_hann
73,0.45625000000000004,0.00030649741532934706,linear_detrend_then_hann
74,0.4625,0.0012397813308801864,linear_detrend_then_hann
75,0.46875,0.0023635427492969493,linear_detrend_then_hann
76,0.47500000000000003,0.0008260457838961546,linear_detrend_then_hann
77,0.48125,0.0007996114647216659,linear_detrend_then_hann
78,0.48750000000000004,0.0026610541091806857,linear_detrend_then_hann
79,0.49375,0.015559112741699367,linear_detrend_then_hann
80,0.5,0.02382534142115954,linear_detrend_then_hann
