variant,source,stage,cumulative_stride,shift_px,comparison,alignment,feature_height,feature_width,overlap_height,overlap_feature_columns,normalized_l1,normalized_l2
antialias,trained_checkpoint,stem_pool,4,8,fractional_aligned,bilinear_fractional,56,56,56,54,0.00102445378433913,0.0009832795476540923
antialias,trained_checkpoint,stem_pool,4,8,exact_integer,exact_integer,56,56,56,54,0.0010232930071651936,0.0009832784999161959
antialias,trained_checkpoint,layer1,4,8,raw_unaligned,none,56,56,56,56,0.43897032737731934,0.6420137286186218
antialias,trained_checkpoint,layer1,4,8,fractional_aligned,bilinear_fractional,56,56,56,54,0.0048063104040920734,0.003979030530899763
antialias,trained_checkpoint,layer1,4,8,exact_integer,exact_integer,56,56,56,54,0.004805614240467548,0.003979030530899763
antialias,trained_checkpoint,layer2,8,8,raw_unaligned,none,28,28,28,28,0.3389156460762024,0.5329375863075256
antialias,trained_checkpoint,layer2,8,8,fractional_aligned,bilinear_fractional,28,28,28,27,0.009012944996356964,0.01010459940880537
antialias,trained_checkpoint,layer2,8,8,exact_integer,exact_integer,28,28,28,27,0.009012863039970398,0.01010459940880537
antialias,trained_checkpoint,layer3,16,8,raw_unaligned,none,14,14,14,14,0.263670414686203,0.366870641708374
antialias,trained_checkpoint,layer3,16,8,fractional_aligned,bilinear_fractional,14,14,14,13,0.10328170657157898,0.12973318994045258
antialias,trained_checkpoint,layer4,32,8,raw_unaligned,none,7,7,7,7,0.18724794685840607,0.22547762095928192
antialias,trained_checkpoint,layer4,32,8,fractional_aligned,bilinear_fractional,7,7,7,6,0.12985120713710785,0.1411885768175125
antialias,trained_checkpoint,stem_conv,2,16,raw_unaligned,none,112,112,112,112,0.9025400280952454,1.2130860090255737
antialias,trained_checkpoint,stem_conv,2,16,fractional_aligned,bilinear_fractional,112,112,112,104,3.8707420912942325e-07,8.981237442640122e-07
antialias,trained_checkpoint,stem_conv,2,16,exact_integer,exact_integer,112,112,112,104,0.0,0.0
antialias,trained_checkpoint,stem_pool,4,16,raw_unaligned,none,56,56,56,56,1.0022145509719849,1.0950311422348022
antialias,trained_checkpoint,stem_pool,4,16,fractional_aligned,bilinear_fractional,56,56,56,52,0.0010329096112400293,0.0009832947980612516
antialias,trained_checkpoint,stem_pool,4,16,exact_integer,exact_integer,56,56,56,52,0.001031739404425025,0.0009832937503233552
antialias,trained_checkpoint,layer1,4,16,raw_unaligned,none,56,56,56,56,0.798081636428833,1.0545337200164795
antialias,trained_checkpoint,layer1,4,16,fractional_aligned,bilinear_fractional,56,56,56,52,0.004878412000834942,0.003973753657191992
antialias,trained_checkpoint,layer1,4,16,exact_integer,exact_integer,56,56,56,52,0.004877706058323383,0.003973753657191992
antialias,trained_checkpoint,layer2,8,16,raw_unaligned,none,28,28,28,28,0.6288192272186279,0.9397264122962952
antialias,trained_checkpoint,layer2,8,16,fractional_aligned,bilinear_fractional,28,28,28,26,0.008677138946950436,0.009496203623712063
antialias,trained_checkpoint,layer2,8,16,exact_integer,exact_integer,28,28,28,26,0.008677015081048012,0.009496203623712063
