epoch,train_mse,val_mse,val_mae,lr
1.0,0.3891273426829067,0.09818742886001681,0.2561955722761743,0.001
2.0,0.004342406074068061,0.18672783264407405,0.3777009010314941,0.001
3.0,0.004334757336771782,0.16423275790832662,0.34702300672177916,0.001
4.0,0.0009040581671820011,0.16400910314218498,0.34796547006677697,0.001
5.0,0.006823557937218819,0.13601573025002892,0.33262048768408503,0.001
6.0,0.003004082325949437,0.02106145435921204,0.12484536877384893,0.001
7.0,0.003492284293953375,0.0035275178053128867,0.05027442920355149,0.001
8.0,0.0024222001439121402,0.00022084253403950298,0.013174316471005663,0.001
9.0,0.0020080968237447517,0.0003778099029232966,0.01908215637560244,0.001
10.0,0.004341409835148097,0.0006234653752561612,0.022207591121579395,0.001
11.0,0.0035511258424024018,0.007924833185510871,0.08727704212989336,0.001
12.0,0.003594166489697441,0.00033054664697969495,0.015696594670966818,0.001
13.0,0.007078104486105458,0.0013711431325286812,0.03310141843042256,0.0005
14.0,0.003377804541414213,0.00014053919668062187,0.010397924059703027,0.0005
15.0,0.0005262951868195317,0.00011684953744945772,0.010297148647131743,0.0005
16.0,0.00017808178909709332,0.0002132389164475126,0.014432619604063623,0.0005
17.0,0.0007442485526733009,0.0006904120976680223,0.026211444389672926,0.0005
18.0,0.0014560413980363568,0.0037953039458780377,0.06155176015547764,0.0005
19.0,0.0020326839392734576,0.0006348531303731839,0.025077697524317988,0.0005
20.0,0.0009399485374789363,4.239838402515297e-06,0.0016720333768997662,0.0005
