epoch,train_smooth_l1,val_smooth_l1,train_loss,val_loss,train_coordinate_mae_px,train_coordinate_mae_scope,val_coordinate_mae_px,lr
1,0.16479766225814818,0.14523666763305665,0.16479766225814818,0.14523666763305665,38.904001122474675,online_train_mode,34.53477478027344,0.001
2,0.11947217917442322,0.1219829821586609,0.11947217917442322,0.1219829821586609,28.767367067337037,online_train_mode,29.32807731628418,0.001
3,0.0977951288819313,0.10260175704956055,0.0977951288819313,0.10260175704956055,23.9169435557127,online_train_mode,24.99554443359375,0.001
4,0.08757013857364654,0.11239479827880859,0.08757013857364654,0.11239479827880859,21.620750160336495,online_train_mode,27.19451904296875,0.001
5,0.08203809204697608,0.09544979333877564,0.08203809204697608,0.09544979333877564,20.39303996527195,online_train_mode,23.390583038330078,0.001
6,0.0740333202779293,0.0856213309764862,0.0740333202779293,0.0856213309764862,18.582169110298157,online_train_mode,21.23961639404297,0.001
7,0.07142386499047279,0.08626176261901855,0.07142386499047279,0.08626176261901855,17.99782434719801,online_train_mode,21.35479736328125,0.001
8,0.06816204133629798,0.07566170740127563,0.06816204133629798,0.07566170740127563,17.272937009304762,online_train_mode,18.937681198120117,0.001
9,0.06619292178750039,0.07035642647743225,0.06619292178750039,0.07035642647743225,16.82339480817318,online_train_mode,17.73931312561035,0.001
10,0.06204084539413452,0.06999777030944825,0.06204084539413452,0.06999777030944825,15.887780892252922,online_train_mode,17.714799880981445,0.001
11,0.060962343752384185,0.05134823751449585,0.060962343752384185,0.05134823751449585,15.65240865212679,online_train_mode,13.432438850402832,0.001
12,0.06031554254889488,0.06848921823501587,0.06031554254889488,0.06848921823501587,15.504628200888632,online_train_mode,17.3552303314209,0.001
13,0.05525210678577423,0.06263230991363525,0.05525210678577423,0.06263230991363525,14.345489410310984,online_train_mode,16.035015106201172,0.001
14,0.054030672967433926,0.054349905729293824,0.054030672967433926,0.054349905729293824,14.077896863043307,online_train_mode,14.180926322937012,0.0005
15,0.039223442435264586,0.04756142568588257,0.039223442435264586,0.04756142568588257,10.696872372686864,online_train_mode,12.601340293884277,0.0005
16,0.04024141229689121,0.04098554849624634,0.04024141229689121,0.04098554849624634,10.920876717090607,online_train_mode,11.139892578125,0.0005
17,0.04057290481030941,0.04751463603973389,0.04057290481030941,0.04751463603973389,11.009404025256634,online_train_mode,12.4710693359375,0.0005
18,0.037307856991887094,0.04415337204933167,0.037307856991887094,0.04415337204933167,10.25201519808173,online_train_mode,11.79326057434082,0.0005
19,0.038870899215340614,0.03991540694236755,0.038870899215340614,0.03991540694236755,10.644358449548484,online_train_mode,10.837529182434082,0.0005
20,0.03624872750043869,0.046462135434150696,0.03624872750043869,0.046462135434150696,10.026205303996802,online_train_mode,12.393903732299805,0.0005
21,0.03378137394785881,0.04987721920013428,0.03378137394785881,0.04987721920013428,9.44782831929624,online_train_mode,13.129878997802734,0.0005
22,0.03528603900969028,0.046655754208564756,0.03528603900969028,0.046655754208564756,9.817376923069359,online_train_mode,12.398005485534668,0.00025
23,0.027152034744620322,0.03391542637348175,0.027152034744620322,0.03391542637348175,7.898960751444102,online_train_mode,9.442256927490234,0.00025
24,0.025183054462075232,0.03232899880409241,0.025183054462075232,0.03232899880409241,7.462771581709386,online_train_mode,9.211027145385742,0.00025
25,0.023839628875255585,0.03276414978504181,0.023839628875255585,0.03276414978504181,7.1458416905850175,online_train_mode,9.164169311523438,0.00025
26,0.024293776154518127,0.02571699845790863,0.024293776154518127,0.02571699845790863,7.244744552597404,online_train_mode,7.539972305297852,0.00025
27,0.02288200643658638,0.028817865133285523,0.02288200643658638,0.028817865133285523,6.889608734965324,online_train_mode,8.297654151916504,0.00025
28,0.023506746768951415,0.029488643050193785,0.023506746768951415,0.029488643050193785,7.067829839482904,online_train_mode,8.464360237121582,0.00025
29,0.02253842285275459,0.03653307104110718,0.02253842285275459,0.03653307104110718,6.8294749878346925,online_train_mode,10.092704772949219,0.000125
30,0.017594682559370994,0.025382033944129943,0.017594682559370994,0.025382033944129943,5.640857158452272,online_train_mode,7.474499225616455,0.000125
