split,id,prediction_mae_px,sigma_min,sigma_max,rank,condition,valid,epsilon,jtj_pixel_normalization,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5,sigma_6,sigma_7,sigma_8
test_id,full-test_id-000456,19.24530792236328,0.9958202659845989,11.500953959707308,8,11.549226655209665,True,0.0033632286995515697,50176.0,11.500953959707308,7.899358501633635,4.395236188434758,2.430319233462145,1.9932343151603,1.6370188012197486,1.227841093709583,0.9958202659845989
test_id,full-test_id-000090,1.8426584005355835,1.0356267345393417,9.500017815643087,8,9.173206425449031,True,0.0033632286995515697,50176.0,9.500017815643087,6.519612193892379,4.831953218700802,3.137485879000189,1.843394346741724,1.6190797644648438,1.1998075750744965,1.0356267345393417
test_id,full-test_id-000893,4.904634952545166,1.114935771283478,9.380675733398238,8,8.413646754377167,True,0.0033632286995515697,50176.0,9.380675733398238,8.178006661932963,5.454122022618899,3.060656260241343,2.3783232088677693,1.5464939425473687,1.2834966382519353,1.114935771283478
test_id,full-test_id-000353,6.902434349060059,0.6611514966850036,8.789881700695439,8,13.294807233694058,True,0.0033632286995515697,50176.0,8.789881700695439,6.055671406949915,3.2635285013788273,1.680134498995269,1.4177963785978833,1.3525863380505445,1.0628813312114263,0.6611514966850036
test_id,full-test_id-000865,3.134580373764038,0.8099880735796989,9.020012312368474,8,11.135981635513486,True,0.0033632286995515697,50176.0,9.020012312368474,5.622378385178367,4.053850269146507,1.7418853072960347,1.5639883722379109,1.418767266288841,1.0874255123203243,0.8099880735796989
test_id,full-test_id-000348,4.864766597747803,0.9879633935266218,7.392231968491029,8,7.482293389539273,True,0.0033632286995515697,50176.0,7.392231968491029,7.182663734139425,3.44809142720479,2.186934969623431,1.5854029767621793,1.3288312449791317,1.2539971055000363,0.9879633935266218
test_id,full-test_id-000552,3.7524094581604004,0.73348088046003,7.689800538149984,8,10.483982259124515,True,0.0033632286995515697,50176.0,7.689800538149984,6.427153246551484,3.66675199470065,1.9099692243028532,1.700228911349024,1.303047161519657,1.0613555437425357,0.73348088046003
test_id,full-test_id-000531,8.462055206298828,0.8647507622068421,8.978578264091482,8,10.38285093982244,True,0.0033632286995515697,50176.0,8.978578264091482,6.212246267590598,3.158396082131338,1.7446905539631976,1.526443828717616,1.371756455119907,1.075506947457991,0.8647507622068421
test_id,full-test_id-000410,30.770858764648438,0.6640141332422426,8.911456544972083,8,13.420582633473927,True,0.0033632286995515697,50176.0,8.911456544972083,4.729867709153872,3.1006026805388935,2.1520873792955775,1.450720736388459,1.2243463707935793,1.0510166419904783,0.6640141332422426
test_id,full-test_id-000782,5.641812801361084,0.9969004447269298,8.142805829964775,8,8.168123379857901,True,0.0033632286995515697,50176.0,8.142805829964775,5.568729451047181,4.2742080298041865,2.6358457369614245,2.0712669362689953,1.3453330849928729,1.1518378155929374,0.9969004447269298
