split,samples,valid_log_samples,excluded_nonfinite_condition_samples,rank_deficient_samples,sigma_min_error_pearson,sigma_min_error_spearman,condition_error_pearson,condition_error_spearman,sigma_1_error_pearson,sigma_1_error_spearman,sigma_2_error_pearson,sigma_2_error_spearman,sigma_3_error_pearson,sigma_3_error_spearman,sigma_4_error_pearson,sigma_4_error_spearman,sigma_5_error_pearson,sigma_5_error_spearman,sigma_6_error_pearson,sigma_6_error_spearman,sigma_7_error_pearson,sigma_7_error_spearman,sigma_8_error_pearson,sigma_8_error_spearman,condition_infinite_samples
test_id,200,200,0,0,-0.1347873669008396,-0.06872721818045452,0.33455105688392495,0.37973599339983505,0.24770719201751748,0.36964824120603024,-0.0032261484932417654,0.125499137478437,-0.19321851892597347,-0.111284782119553,-0.13671938598879135,-0.10799819995499889,-0.26696828377310217,-0.2105632640816021,-0.037448780689777444,0.15043126078151955,0.00630194243674738,0.15043426085652145,-0.1347873669008396,-0.06872721818045452,0
test_hole,200,200,0,0,-0.19837531310790116,-0.15294832370809272,0.3682611126642841,0.3406330158253957,0.16156398104634473,0.20388659716492916,-0.05334736646262135,0.037026925673141836,-0.17173906204382017,-0.19854046351158783,-0.14960617539875115,-0.19565739143478592,-0.30476350091805643,-0.30077551938798475,-0.053380971667095885,0.013245331133278334,-0.03402497652037203,-0.012762319057976451,-0.19837531310790116,-0.15294832370809272,0
test_extra,200,200,0,0,-0.10301736353227595,-0.17542638565964153,0.2484245216402598,0.40370059251481294,0.32243076709586693,0.3904957623940599,0.1182337151389262,0.14599864996624917,-0.2293412776140152,-0.28879771994299863,-0.17076169546582093,-0.23680192004800124,-0.25517465875656153,-0.32244206105152634,0.0315496007890708,-0.04266856671416786,-0.017240143603742455,-0.058615465386634674,-0.10301736353227595,-0.17542638565964153,0
pooled,600,600,0,0,-0.044057156748869404,-0.018622163097983094,0.32053902044030513,0.38999569984910654,0.34249773028036584,0.42437254581780154,0.16654222617094322,0.23359626323401264,-0.08392313704456268,-0.06553623851088806,-0.06227917097984191,-0.08003933455425341,-0.13345443839510593,-0.14297792692449043,0.12304564820648897,0.18318765028774595,0.06892196246795819,0.13755643956728267,-0.044057156748869404,-0.018622163097983094,0
