split,parameter,p0x,p0y,p1x,p1y,p2x,p2y,p3x,p3y
test_id,p0x,27.67471829732912,1.6532010816670073,10.446699342275037,0.43829319052171506,3.5937680040350815,0.15313698946490356,0.779092526397133,0.06057148679256561
test_id,p0y,1.6532010816670073,25.476797587580776,0.5370682283616066,10.347573338954996,0.20076038354884432,3.9112833442949637,0.0644428440030696,0.9025255819171341
test_id,p1x,10.446699342275037,0.5370682283616066,11.053088164179064,0.5156168266727985,7.099819295712569,0.4534966140956652,3.6001086177982904,0.24190388862789125
test_id,p1y,0.43829319052171506,10.347573338954996,0.5156168266727985,12.015458576508625,0.4639179382476027,8.064525244104994,0.22864472981526476,3.9498896148519327
test_id,p2x,3.5937680040350815,0.20076038354884432,7.099819295712569,0.4639179382476027,11.091594110498232,0.5742042170687721,10.495685886012902,0.5203144193516189
test_id,p2y,0.15313698946490356,3.9112833442949637,0.4534966140956652,8.064525244104994,0.5742042170687721,11.927092025924615,0.46266378366365657,10.521425556135439
test_id,p3x,0.779092526397133,0.0644428440030696,3.6001086177982904,0.22864472981526476,10.495685886012902,0.46266378366365657,27.534637413400155,1.7326138464433982
test_id,p3y,0.06057148679256561,0.9025255819171341,0.24190388862789125,3.9498896148519327,0.5203144193516189,10.521425556135439,1.7326138464433982,26.496772266968446
test_hole,p0x,26.09555609672109,1.0001507183817155,8.713867200857734,-0.016485114824116135,2.6653981939528255,-0.23853486388564155,0.6267663274807471,-0.07804588937426821
test_hole,p0y,1.0001507183817155,15.106748808109842,-0.017150499581641027,8.348973078818263,-0.24852471252594172,3.6018586355968005,-0.09021736680647204,0.7931819512602151
test_hole,p1x,8.713867200857734,-0.017150499581641027,8.522819876728606,-0.7201723250758637,5.726760235438129,-0.7318021125906787,3.0835988647644514,-0.2246764692812036
test_hole,p1y,-0.016485114824116135,8.348973078818263,-0.7201723250758637,10.82496426009129,-0.6874290612336981,7.157208079043159,-0.19738434762589685,3.266259766795469
test_hole,p2x,2.6653981939528255,-0.24852471252594172,5.726760235438129,-0.6874290612336981,9.287542903609564,-0.6024047438753549,7.771557165192463,0.029899705077428756
test_hole,p2y,-0.23853486388564155,3.6018586355968005,-0.7318021125906787,7.157208079043159,-0.6024047438753549,10.101920737973161,0.05973553050849972,9.361854915881791
test_hole,p3x,0.6267663274807471,-0.09021736680647204,3.0835988647644514,-0.19738434762589685,7.771557165192463,0.05973553050849972,15.330851308946091,1.1040791095162197
test_hole,p3y,-0.07804588937426821,0.7931819512602151,-0.2246764692812036,3.266259766795469,0.029899705077428756,9.361854915881791,1.1040791095162197,25.78861121215234
test_extra,p0x,34.12822602439057,-1.8072217847337735,13.023504019837782,-0.7167204871123286,4.342594211732213,-0.2734209071271481,0.9565606499435287,-0.07071825717283094
test_extra,p0y,-1.8072217847337735,33.98386347676323,-0.7464230323692642,12.771443064216426,-0.25713979395203046,4.4232478877512325,-0.051448755239432355,0.958756572060333
test_extra,p1x,13.023504019837782,-0.7464230323692642,13.509245087832923,-0.7528082873699584,8.549812854674139,-0.5282456227609511,4.3801887384311025,-0.24073820362840137
test_extra,p1y,-0.7167204871123286,12.771443064216426,-0.7528082873699584,13.46266439518755,-0.551854266526191,8.639691652580831,-0.2385760164679976,4.2670143273485825
test_extra,p2x,4.342594211732213,-0.25713979395203046,8.549812854674139,-0.551854266526191,13.455868291772042,-0.6436222897322055,12.994279013888367,-0.47472890792005773
test_extra,p2y,-0.2734209071271481,4.4232478877512325,-0.5282456227609511,8.639691652580831,-0.6436222897322055,13.258733501534454,-0.5660355818879838,12.363951311447098
test_extra,p3x,0.9565606499435287,-0.051448755239432355,4.3801887384311025,-0.2385760164679976,12.994279013888367,-0.5660355818879838,34.027594141390225,-0.8106842630829574
test_extra,p3y,-0.07071825717283094,0.958756572060333,-0.24073820362840137,4.2670143273485825,-0.47472890792005773,12.363951311447098,-0.8106842630829574,32.59754742538425
