split,metric,value
test_hole,outside_count,682.0
test_hole,pred_inside_when_target_inside,0.9953539218365673
test_hole,pred_inside_when_target_outside,0.16129032258064516
test_hole,inside_mae_px,6.565581770577291
test_hole,outside_mae_px,11.567631736495365
test_hole,control_inside_point_mae,0.05192293576823299
test_hole,control_outside_point_mae,0.0436013238198208
test_hole,control_inside_point_mae_px,11.578814676315956
test_hole,control_outside_point_mae_px,9.723095211820038
test_hole,control_inside_point_count,1318.0
test_hole,control_outside_point_count,682.0
test_hole,samples_with_outside_control_count,569.0
test_hole,p1_inside_mae,0.04938908138637202
test_hole,p1_outside_mae,0.049079901312401544
test_hole,p1_inside_mae_px,11.01376514916096
test_hole,p1_outside_mae_px,10.944817992665545
test_hole,p1_inside_count,1655.0
test_hole,p1_outside_count,345.0
test_hole,p1_point_inside_mae,0.05391792318714162
test_hole,p1_point_outside_mae,0.04063625546676622
test_hole,p1_point_inside_count,655.0
test_hole,p1_point_outside_count,345.0
test_hole,p2_inside_mae,0.04763974337139958
test_hole,p2_outside_mae,0.054731974781709186
test_hole,p2_inside_mae_px,10.623662771822106
test_hole,p2_outside_mae_px,12.205230376321149
test_hole,p2_inside_count,1663.0
test_hole,p2_outside_count,337.0
test_hole,p2_point_inside_mae,0.04995202059570635
test_hole,p2_point_outside_mae,0.04663677955217637
test_hole,p2_point_inside_count,663.0
test_hole,p2_point_outside_count,337.0
test_hole,outside_coordinate_only_mae,0.05187278805603303
test_hole,outside_coordinate_only_mae_px,11.567631736495365
test_hole,outside_coordinate_only_count,682.0
test_hole,extra_support_coordinate_count,0.0
test_hole,extra_support_coordinate_mae,
test_hole,extra_support_coordinate_mae_px,
test_hole,extra_support_correct_side_fraction,
test_hole,curve_t_mae,0.015048498134565491
test_hole,curve_t_rmse,0.022389346823276552
test_hole,curve_t_mae_px,3.3558150840081047
test_hole,curve_t_rmse_px,4.992824341590671
test_hole,p0x_mae,0.009588123440742493
test_hole,p0x_rmse,0.012574306050929273
test_hole,p0x_rmse_px,2.804070249357228
test_hole,p0x_mae_px,2.1381515272855762
test_hole,p0x_maxabs,0.061728209257125854
test_hole,p0x_maxabs_px,13.765390664339066
test_hole,p0y_mae,0.019598101899027824
test_hole,p0y_rmse,0.023645548347074746
test_hole,p0y_rmse_px,5.272957281397669
test_hole,p0y_mae_px,4.370376723483205
test_hole,p0y_maxabs,0.10263240337371826
test_hole,p0y_maxabs_px,22.887025952339172
test_hole,p1x_mae,0.049435815803706644
test_hole,p1x_rmse,0.08064391457755367
test_hole,p1x_rmse_px,17.983592950794467
test_hole,p1x_mae_px,11.024186924226582
test_hole,p1x_maxabs,0.47578129172325134
test_hole,p1x_maxabs_px,106.09922805428505
test_hole,p1y_mae,0.04923567984351757
test_hole,p1y_rmse,0.06764080988182873
test_hole,p1y_rmse_px,15.083900603647807
test_hole,p1y_mae_px,10.979556605104419
test_hole,p1y_maxabs,0.3573418855667114
test_hole,p1y_maxabs_px,79.68724048137665
test_hole,p2x_mae,0.04799338848458137
test_hole,p2x_rmse,0.06662132961774526
test_hole,p2x_rmse_px,14.856556504757194
test_hole,p2x_mae_px,10.702525632061645
test_hole,p2x_maxabs,0.3859482407569885
test_hole,p2x_maxabs_px,86.06645768880844
test_hole,p2y_mae,0.04967618024349213
test_hole,p2y_rmse,0.07694595509548482
test_hole,p2y_rmse_px,17.158947986293114
test_hole,p2y_mae_px,11.077788194298744
test_hole,p2y_maxabs,0.5116929113864899
test_hole,p2y_maxabs_px,114.10751923918724
test_hole,p3x_mae,0.01371220451593399
test_hole,p3x_rmse,0.015888650376801604
test_hole,p3x_rmse_px,3.5431690340267576
test_hole,p3x_mae_px,3.0578216070532798
test_hole,p3x_maxabs,0.050516724586486816
test_hole,p3x_maxabs_px,11.26522958278656
test_hole,p3y_mae,0.011594820752739906
test_hole,p3y_rmse,0.015553625753041317
test_hole,p3y_rmse_px,3.4684585429282135
test_hole,p3y_mae_px,2.585645027860999
test_hole,p3y_maxabs,0.10590952634811401
test_hole,p3y_maxabs_px,23.617824375629425
test_hole,train_mean_constant_mae_px,39.48386340918966
test_hole,model_to_constant_mae_ratio,0.17708516660870763
test_hole,improvement_over_constant_fraction,0.8229148333912923
test_extra,count,1000.0
test_extra,mae,0.049054112404108306
test_extra,rmse,0.08159939634474203
test_extra,mae_px,10.939067066116152
test_extra,rmse_px,18.196665384877473
test_extra,maxabs,0.8553903233259916
test_extra,maxabs_px,190.75204210169613
test_extra,endpoint_mae,0.019474988490343095
test_extra,endpoint_rmse,0.02707734838810825
test_extra,endpoint_mae_px,4.34292243334651
test_extra,endpoint_rmse_px,6.03824869054814
test_extra,control_mae,0.07863323631787353
test_extra,control_rmse,0.11217727119127835
test_extra,control_mae_px,17.535211698885796
