id,delta_px,sigma_min,condition,rank
minimal-test-000299,0.5,1.6133551833665523,4.716289971626065,6
minimal-test-000299,0.75,1.237604461966992,5.8642790680283765,6
minimal-test-000299,1.0,1.0800230274182405,6.3426477492386155,6
minimal-test-000261,0.5,1.4258355451893165,5.299425314362383,6
minimal-test-000261,0.75,1.0598481320850393,6.883082000084933,6
minimal-test-000261,1.0,0.9054611800633919,7.574333327394052,6
minimal-test-000004,0.5,1.375840472417554,6.213674743150729,6
minimal-test-000004,0.75,1.033799725173375,7.763458932354155,6
minimal-test-000004,1.0,0.9932394153848553,7.700611179676454,6
minimal-test-000076,0.5,1.2329077955620595,7.6386221290656335,6
minimal-test-000076,0.75,1.04894972276973,8.691861904567936,6
minimal-test-000076,1.0,0.8269409346295029,10.519620927037352,6
minimal-test-000086,0.5,1.6821599126215165,4.83263053841816,6
minimal-test-000086,0.75,1.2094278879182574,6.428456124460959,6
minimal-test-000086,1.0,1.0891233287425421,6.789081955301583,6
minimal-test-000381,0.5,1.2443654992273983,7.40042216088699,6
minimal-test-000381,0.75,0.8508086743354264,10.210599440613057,6
minimal-test-000381,1.0,0.8133676935776533,10.196299274362598,6
minimal-test-000384,0.5,1.5528862133416301,6.747177945604468,6
minimal-test-000384,0.75,1.1454527483448673,8.46927504803677,6
minimal-test-000384,1.0,0.9398710809947971,9.793331876887706,6
minimal-test-000212,0.5,1.3344566663894522,6.440241685787473,6
minimal-test-000212,0.75,1.0343888737008926,8.034157141338236,6
minimal-test-000212,1.0,0.933300121556547,8.290086306974453,6
minimal-test-000341,0.5,1.5781829196295933,5.308248134627395,6
minimal-test-000341,0.75,1.177218981446434,6.817495472710067,6
minimal-test-000341,1.0,1.0637965406123155,7.051066865241592,6
minimal-test-000079,0.5,1.6591260360348956,4.897833117741734,6
minimal-test-000079,0.75,1.1795953221902677,6.48405929357983,6
minimal-test-000079,1.0,1.052708117060763,6.887043176916756,6
minimal-test-000156,0.5,1.3869330832419287,6.2736204862670775,6
minimal-test-000156,0.75,1.1463611097694104,7.366611704105272,6
minimal-test-000156,1.0,1.0341586139139083,7.783963366399193,6
minimal-test-000173,0.5,1.794550547211247,5.105946809770308,6
minimal-test-000173,0.75,1.4345800335898262,6.071323272199589,6
minimal-test-000173,1.0,1.2655379689413846,6.481906234736788,6
minimal-test-000286,0.5,0.8182167184564565,10.03295678596051,6
minimal-test-000286,0.75,0.680087683869622,11.436257608397526,6
minimal-test-000286,1.0,0.6400189685506812,11.494925525273642,6
minimal-test-000237,0.5,1.440382832679059,5.987017462090669,6
minimal-test-000237,0.75,1.2298690404384278,6.6486728341224035,6
minimal-test-000237,1.0,0.9718878977491837,8.010707022732428,6
minimal-test-000266,0.5,1.169131782536346,9.589913914257062,6
minimal-test-000266,0.75,0.9243830804491392,11.645888765544608,6
minimal-test-000266,1.0,0.799955658636553,12.765953983369089,6
minimal-test-000096,0.5,1.432146397612591,5.056107867279491,6
minimal-test-000096,0.75,1.1841439541792604,5.898975753245618,6
minimal-test-000096,1.0,1.0154859420916929,6.450840733490686,6
