id,best_render_loss,best_control_mae_px,best_endpoint_mae_px,best_interior_mae_px,best_curve_rmse_px,success_le_1px,joint_success,restart_dispersion_px,true_p0x,true_p0y,true_p1x,true_p1y,true_p2x,true_p2y,solution_p0x,solution_p0y,solution_p1x,solution_p1y,solution_p2x,solution_p2y
minimal-test-000463,0.0001413537228616937,0.5621693134307861,0.3079618811607361,1.0705842971801758,0.2754135228553547,True,True,20.886512756347656,0.26813894510269165,0.8458034992218018,0.830598771572113,0.6883846521377563,0.7541961669921875,0.5173774361610413,0.2670173645019531,0.8479830026626587,0.8357722759246826,0.683956503868103,0.7522019147872925,0.5176060795783997
minimal-test-000415,0.00045770544737502844,0.8856361508369446,0.9194328188896179,0.8180427551269531,0.6699275704522699,True,True,12.942371368408203,0.20182405412197113,0.372391939163208,0.2980492413043976,0.8429875373840332,0.5862651467323303,0.3501310646533966,0.2002989500761032,0.37894582748413086,0.3014841675758362,0.8390857577323914,0.5894166231155396,0.344869464635849
minimal-test-000506,0.00019946612223320699,0.5691624879837036,0.5213083028793335,0.6648709177970886,0.4306374929496829,True,True,18.060848236083984,0.20676524937152863,0.6990809440612793,0.3898308575153351,0.272376149892807,0.6332230567932129,0.5193573832511902,0.20464220643043518,0.7040186524391174,0.38587677478790283,0.27036726474761963,0.6347338557243347,0.5185781121253967
minimal-test-000455,0.00025859792446390317,1.0208661556243896,0.6487396359443665,1.765119194984436,0.5178930215414352,False,False,18.566547393798828,0.2315014898777008,0.4919286370277405,0.19398006796836853,0.7928690910339355,0.656997561454773,0.3447335362434387,0.22830167412757874,0.4979778528213501,0.20384621620178223,0.7869045734405518,0.6546308398246765,0.3447127044200897
minimal-test-000118,0.00047500771141790045,1.4445579051971436,1.4211314916610718,1.491410493850708,1.2120477122237976,False,False,14.618297576904297,0.33692002296447754,0.16164344549179077,0.35041543841362,0.7123929262161255,0.7865718603134155,0.3303435444831848,0.33494213223457336,0.17656800150871277,0.36008623242378235,0.7086878418922424,0.7904008030891418,0.3255837857723236
minimal-test-000462,0.0002785752781504759,0.6354953646659851,0.8083953261375427,0.2896955609321594,0.7716134466457687,True,True,28.521488189697266,0.15606921911239624,0.34056222438812256,0.38983801007270813,0.735998272895813,0.7768080234527588,0.6505014300346375,0.1563914567232132,0.34286239743232727,0.390817791223526,0.7376166582107544,0.7865831255912781,0.6483985781669617
minimal-test-000139,0.00021419106858429647,0.8317227363586426,0.5502147674560547,1.3947389125823975,0.7482012296701995,True,True,17.132892608642578,0.1608886569738388,0.765175998210907,0.6853587031364441,0.7650054097175598,0.6502411961555481,0.5558562874794006,0.155117928981781,0.7627413868904114,0.6779288649559021,0.7700844407081604,0.6517395973205566,0.5560218691825867
minimal-test-000033,0.00018914826960195845,0.4287159740924835,0.17216582596302032,0.9418162703514099,0.336659406667539,True,True,21.16213607788086,0.3055713474750519,0.6331133246421814,0.7618206143379211,0.10064337402582169,0.6617174744606018,0.4461801052093506,0.30447787046432495,0.6329199075698853,0.7580899596214294,0.1053595021367073,0.6618555784225464,0.4445169270038605
minimal-test-000478,0.00024402837115238254,0.9287775158882141,0.7869256734848022,1.2124812602996826,1.0052619761173411,True,True,19.136146545410156,0.2341180443763733,0.32733264565467834,0.5542055368423462,0.8434222936630249,0.6093799471855164,0.7261644601821899,0.22925768792629242,0.31953418254852295,0.5478070378303528,0.838946521282196,0.6089162826538086,0.725171685218811
minimal-test-000400,0.0003663380180503574,1.2267910242080688,1.2635592222213745,1.153254508972168,0.9903588471235096,False,False,17.49934196472168,0.4027460515499115,0.7166106700897217,0.13751257956027985,0.29005491733551025,0.8099524974822998,0.2187207192182541,0.39447447657585144,0.7043835520744324,0.14681777358055115,0.29109281301498413,0.8094477653503418,0.2170594036579132
minimal-test-000217,0.00021213172769107643,0.889167308807373,0.6005101799964905,1.4664815664291382,0.5495075794018189,True,True,18.020423889160156,0.32413250207901,0.7833468317985535,0.5644552111625671,0.811859667301178,0.7360544800758362,0.6170902252197266,0.31760159134864807,0.7823768854141235,0.5753318667411804,0.8095840215682983,0.7349976301193237,0.6148764491081238
minimal-test-000420,0.0004042526937245487,1.3090375661849976,1.0438311100006104,1.8394505977630615,1.17831041538119,False,False,19.57032585144043,0.15516452491283417,0.8390078544616699,0.8187859654426575,0.5711730122566223,0.78534996509552,0.21348890662193298,0.16212345659732819,0.8354912996292114,0.8276659846305847,0.5635557174682617,0.7819326519966125,0.20865827798843384
