epoch,train_loss,val_loss,val_coordinate_mae_px,lr_used,lr_next
1,0.13890982866287233,0.21791226789355278,50.79667282104492,0.001,0.001
2,0.061998550951480866,0.09601064398884773,23.5423526763916,0.001,0.001
3,0.05986343777179718,0.06676181964576244,16.962013244628906,0.001,0.001
4,0.04732104432582855,0.044331228360533714,11.911911010742188,0.001,0.001
5,0.0477104297876358,0.08278338238596916,20.6373348236084,0.001,0.001
6,0.045521648466587065,0.0765585545450449,19.176206588745117,0.001,0.001
7,0.04350395902991295,0.04339063726365566,11.676265716552734,0.001,0.001
8,0.0357068649828434,0.06723020598292351,17.157106399536133,0.001,0.001
9,0.04363416546583176,0.06254556123167276,15.859959602355957,0.001,0.001
10,0.03850191622972488,0.04849482420831919,12.893595695495605,0.001,0.001
11,0.039437816858291626,0.05878719501197338,15.223139762878418,0.001,0.0005
12,0.023957014217972757,0.0360531285405159,10.040834426879883,0.0005,0.0005
13,0.02076816827058792,0.04093881230801344,11.173407554626465,0.0005,0.0005
14,0.02840983521938324,0.030761662404984236,8.768950462341309,0.0005,0.0005
15,0.02276130995154381,0.03504040651023388,9.678523063659668,0.0005,0.0005
16,0.024536170735955237,0.0313799693249166,8.988320350646973,0.0005,0.0005
17,0.02232539528608322,0.03343697916716337,9.378841400146484,0.0005,0.0005
18,0.022427594751119613,0.04553688783198595,12.251583099365234,0.0005,0.00025
19,0.017932041823863983,0.020165833178907633,6.4095778465271,0.00025,0.00025
20,0.014708752676844596,0.016398129519075155,5.367064952850342,0.00025,0.00025
