id,sigma_min,sigma_max,rank,condition,prediction_error_px,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5,sigma_6,jtj_0_0,jtj_0_1,jtj_0_2,jtj_0_3,jtj_0_4,jtj_0_5,jtj_1_0,jtj_1_1,jtj_1_2,jtj_1_3,jtj_1_4,jtj_1_5,jtj_2_0,jtj_2_1,jtj_2_2,jtj_2_3,jtj_2_4,jtj_2_5,jtj_3_0,jtj_3_1,jtj_3_2,jtj_3_3,jtj_3_4,jtj_3_5,jtj_4_0,jtj_4_1,jtj_4_2,jtj_4_3,jtj_4_4,jtj_4_5,jtj_5_0,jtj_5_1,jtj_5_2,jtj_5_3,jtj_5_4,jtj_5_5
minimal-test-000299,1.237604461966992,7.257657940811552,6,5.8642790680283765,3.7779695987701416,7.257657940811552,6.821324773817338,3.554775332019261,1.8105855869608038,1.4418209291445836,1.237604461966992,21.244216218622512,-18.85603872077153,6.714753397137721,-5.248657933489298,2.0543572334979743,0.4338328941325984,-18.85603872077153,25.949524583253776,-5.292032416588638,13.972300887947767,0.701565159560556,4.6563520333242225,6.714753397137721,-5.292032416588638,8.624002899498581,1.5712225295891773,9.84864278363851,6.432815869948194,-5.248657933489298,13.972300887947767,1.5712225295891773,17.167373833928995,6.4549739105882,10.10073368072719,2.0543572334979743,0.701565159560556,9.84864278363851,6.4549739105882,31.903656324866546,15.627291785178116,0.4338328941325984,4.6563520333242225,6.432815869948194,10.10073368072719,15.627291785178116,13.840456820391548
minimal-test-000261,1.0598481320850393,7.295021600778172,6,6.883082000084933,5.364240646362305,7.295021600778172,5.242381754233494,2.7815792571825737,1.508596173919129,1.2328985204968,1.0598481320850393,28.11841131632391,13.295928560285764,11.835685908350273,8.280698912462585,2.1850497061569722,2.6160849020980943,13.295928560285764,10.231033256303606,8.48873114360123,7.623165322501547,2.34741103848947,3.82217733430518,11.835685908350273,8.48873114360123,10.456054899220035,9.422586542105947,3.4042296756665626,4.78481583115272,8.280698912462585,7.623165322501547,9.422586542105947,14.021772049914732,4.560939009045883,12.728740977055317,2.1850497061569722,2.34741103848947,3.4042296756665626,4.560939009045883,3.7044369171960714,2.7003206817857857,2.6160849020980943,3.82217733430518,4.78481583115272,12.728740977055317,2.7003206817857857,26.82456057886117
minimal-test-000004,1.033799725173375,8.02586171066251,6,7.763458932354155,4.396194934844971,8.02586171066251,6.0595129500321265,3.525449542996235,1.6793542895634013,1.3660856358198497,1.033799725173375,27.637884636152926,-8.540342917259496,9.442637841492804,-5.512373164952256,1.511759588366937,-0.8792968967271003,-8.540342917259496,8.902817572290347,-5.847405990991165,9.355448559598129,-0.9640813775128785,5.521375927413446,9.442637841492804,-5.847405990991165,6.581093874096474,-4.432360051727663,2.4697713833627133,1.3868860569827053,-5.512373164952256,9.355448559598129,-4.432360051727663,21.42902010327551,1.8094197729473045,21.440143155165106,1.511759588366937,-0.9640813775128785,2.4697713833627133,1.8094197729473045,7.11721549145257,12.634161165555549,-0.8792968967271003,5.521375927413446,1.3868860569827053,21.440143155165106,12.634161165555549,47.648078859267
minimal-test-000076,1.04894972276973,9.117326135149314,6,8.691861904567936,4.3945536613464355,9.117326135149314,5.632528606362232,3.103728834965217,1.4922540068353813,1.415305576384059,1.04894972276973,42.92301725510464,27.039664957486245,18.169694936117143,13.209619909783088,4.10774577246476,3.4299983050137275,27.039664957486245,20.781491840745012,14.223368897804214,11.846178970090213,4.065651591927622,4.4679375599640725,18.169694936117143,14.223368897804214,16.436009462881014,14.817463157103793,6.0996662402706185,7.062555378360498,13.209619909783088,11.846178970090213,14.817463157103793,18.20959431226193,7.305860283792168,13.832646297353367,4.10774577246476,4.065651591927622,6.0996662402706185,7.305860283792168,5.433536333106229,4.8185304652906895,3.4299983050137275,4.4679375599640725,7.062555378360498,13.832646297353367,4.8185304652906895,26.030705249420027
minimal-test-000086,1.2094278879182574,7.774754113182003,6,6.428456124460959,5.3940229415893555,7.774754113182003,6.025187702998809,3.226462232636446,1.6137430151680516,1.27532200292716,1.2094278879182574,29.954527768623784,13.591346521860379,11.477472154439116,7.850327577109275,2.1145856466224835,2.310194201046432,13.591346521860379,11.254374352409807,8.625059657168968,9.175989430085755,2.2791824278731103,4.667095736306503,11.477472154439116,8.625059657168968,9.986549659624195,9.592358726306422,3.0432317717391975,4.065665140102882,7.850327577109275,9.175989430085755,9.592358726306422,19.4016237385477,4.023787730369924,18.21277813344836,2.1145856466224835,2.2791824278731103,3.0432317717391975,4.023787730369924,3.514708270835568,-0.01784294681925041,2.310194201046432,4.667095736306503,4.065665140102882,18.21277813344836,-0.01784294681925041,38.74129167162507
minimal-test-000381,0.8508086743354264,8.687266574238041,6,10.210599440613057,4.5397047996521,8.687266574238041,3.896769156110504,3.429215687853499,1.8007143732700734,1.4594182250088787,0.8508086743354264,8.265030447772789,-1.2974410039070092,5.6276545882514215,2.8293399548000027,2.190116723704732,2.146837077832222,-1.2974410039070092,11.138706806115692,3.3367597628648404,6.666941886640275,2.8095596189183727,4.3237985233581435,5.6276545882514215,3.3367597628648404,9.061981535261163,9.786131502982455,6.971308417975032,10.10809033989413,2.8293399548000027,6.666941886640275,9.786131502982455,16.296124553307152,11.75038659690455,18.99973066759383,2.190116723704732,2.8095596189183727,6.971308417975032,11.75038659690455,17.018330357878433,25.588824739182158,2.146837077832222,4.3237985233581435,10.10809033989413,18.99973066759383,25.588824739182158,46.72910613128693
minimal-test-000384,1.1454527483448673,9.701154380262327,6,8.46927504803677,2.2003836631774902,9.701154380262327,4.879531745768799,4.251434425639358,2.093942373910189,1.5496386387179262,1.1454527483448673,21.253368011011585,0.2228607089622346,7.576376699236335,-0.34077725234974166,2.0582523338856236,-1.7084994154252107,0.2228607089622346,8.647651239417335,-0.7815264899532796,9.75710453748493,-2.0975352680560237,6.202930432112929,7.576376699236335,-0.7815264899532796,9.646951098522194,-7.621573411908332,10.087910332842279,-13.44163918522201,-0.34077725234974166,9.75710453748493,-7.621573411908332,22.021745996873687,-12.517843306848883,22.01499223150589,2.0582523338856236,-2.0975352680560237,10.087910332842279,-12.517843306848883,30.442973357235047,-36.48982881033676,-1.7084994154252107,6.202930432112929,-13.44163918522201,22.01499223150589,-36.48982881033676,52.082267914654985
minimal-test-000212,1.0343888737008926,8.310442756564841,6,8.034157141338236,6.485159397125244,8.310442756564841,5.517165338508563,3.6125763864594456,1.706596115369177,1.3394702187916325,1.0343888737008926,5.110872991080962,-9.82097740975475,4.315601877325001,-7.480645292839358,2.75727721058467,-2.544746985259244,-9.82097740975475,50.7898871542081,-7.231751765112365,21.61808488904822,-2.5690591857658114,4.876469236796025,4.315601877325001,-7.231751765112365,10.990916536276815,-9.675422588834005,11.270273136079048,-4.584485737650179,-7.480645292839358,21.61808488904822,-9.675422588834005,18.96571119951248,-4.744083242229351,6.774162145658914,2.75727721058467,-2.5690591857658114,11.270273136079048,-4.744083242229351,25.542788039643952,1.1001931202764321,-2.544746985259244,4.876469236796025,-4.584485737650179,6.774162145658914,1.1001931202764321,6.929715519922565
minimal-test-000341,1.177218981446434,8.02568507639942,6,6.817495472710067,4.943753242492676,8.02568507639942,6.39551777760296,3.844010301099962,1.8554882013931253,1.38844886885374,1.177218981446434,34.15849945588258,-0.19111733432479713,13.5441243569868,3.8299268905546966,2.539002558948416,1.591382214378126,-0.19111733432479713,6.577151355095413,4.059067178750586,6.863532683770677,1.5415452516791024,4.9888378024139906,13.5441243569868,4.059067178750586,10.708078055432415,5.718874452286358,3.2380138874722,1.2576093686385224,3.8299268905546966,6.863532683770677,5.718874452286358,19.083289038518448,0.5479424002716554,21.56211060295576,2.539002558948416,1.5415452516791024,3.2380138874722,0.5479424002716554,5.3889357401457305,-8.057465628680664,1.591382214378126,4.9888378024139906,1.2576093686385224,21.56211060295576,-8.057465628680664,50.931201396272016
minimal-test-000079,1.1795953221902677,7.648566011511099,6,6.48405929357983,5.313587665557861,7.648566011511099,6.8291613444231976,3.456819163280314,2.0452745680625966,1.454671364520186,1.1795953221902677,29.455392669731282,-23.068152861362403,9.22086098655148,-7.280200039847093,2.62784471822498,0.16801769550412754,-23.068152861362403,25.400396717646743,-7.269056665694599,12.852456139454686,0.26047044348785253,3.5374217866612865,9.22086098655148,-7.269056665694599,10.800165002684077,-0.5568638736812804,11.026033406554342,5.187684370725415,-7.280200039847093,12.852456139454686,-0.5568638736812804,14.42457962269875,4.953924154765392,7.462118163169407,2.62784471822498,0.26047044348785253,11.026033406554342,4.953924154765392,34.68992663051058,13.220485546342717,0.16801769550412754,3.5374217866612865,5.187684370725415,7.462118163169407,13.220485546342717,10.007806746609317
