id,restart,initial_scale_px,initial_control_mae_px,initial_render_loss,initial_p0x,initial_p0y,initial_p1x,initial_p1y,initial_p2x,initial_p2y,render_loss,control_mae_px,curve_rmse_px,optimizer_success,iterations,function_evaluations,message,solution_p0x,solution_p0y,solution_p1x,solution_p1y,solution_p2x,solution_p2y
minimal-test-000463,0,2.0,0.5432295749584833,0.0008705458286255677,0.2679468095302582,0.8494561314582825,0.8367900848388672,0.6857671737670898,0.7531330585479736,0.5182768106460571,0.0001413537228616937,0.5621693134307861,0.2754135228553547,True,3,231,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2670173645019531,0.8479830026626587,0.8357722759246826,0.683956503868103,0.7522019147872925,0.5176060795783997
minimal-test-000463,1,4.308869380063768,1.6143975754578908,0.0072135747681425525,0.2697184681892395,0.8408588767051697,0.8330460786819458,0.6719003319740295,0.7560189366340637,0.5012192726135254,0.0003520519727498843,1.3706386089324951,1.4876070916674802,True,5,245,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.28362083435058594,0.8394830822944641,0.8362700343132019,0.6874836683273315,0.7521843314170837,0.5108856558799744
minimal-test-000463,2,9.283177667225555,7.741453704734644,0.014619777751786987,0.22070090472698212,0.792227566242218,0.8599971532821655,0.6756548881530762,0.69822096824646,0.5082045197486877,0.013307834163076997,8.05999755859375,7.674047218254198,True,3,210,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.28264120221138,0.7850011587142944,0.8285881876945496,0.66652911901474,0.673999011516571,0.5548704862594604
minimal-test-000463,3,20.0,16.333721694846947,0.010050598977336032,0.21980725228786469,0.8499900102615356,0.8999900221824646,0.6960710883140564,0.8499663472175598,0.30327117443084717,0.005432191258856484,16.14586067199707,17.042293368612665,True,3,175,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.23207193613052368,0.8499926328659058,0.8999926447868347,0.7068572044372559,0.8499751091003418,0.30686116218566895
minimal-test-000415,0,2.0,2.3171142265200615,0.008455654014056603,0.23096036911010742,0.3730190098285675,0.2945410907268524,0.8384137749671936,0.6039724349975586,0.3433397710323334,0.00045770544737502844,0.8856361508369446,0.6699275704522699,True,14,357,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2002989500761032,0.37894582748413086,0.3014841675758362,0.8390857577323914,0.5894166231155396,0.344869464635849
minimal-test-000415,1,4.308869380063768,2.8034724667668343,0.008195398870332446,0.1943053901195526,0.40074393153190613,0.3101096749305725,0.8537495732307434,0.5936441421508789,0.34077343344688416,0.0006374556562821206,1.7182351350784302,1.539393617850433,True,8,273,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.20180150866508484,0.3872508704662323,0.31044378876686096,0.8399276733398438,0.5899965167045593,0.33796778321266174
minimal-test-000415,2,9.283177667225555,8.412919588387012,0.013422239606626965,0.23631975054740906,0.3427826166152954,0.37215933203697205,0.8262115120887756,0.6182609796524048,0.3107614517211914,0.013419262006273096,8.412893295288086,8.714666821378563,True,2,266,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.23631975054740906,0.3427828848361969,0.37215885519981384,0.8262109756469727,0.6182599663734436,0.3107609450817108
minimal-test-000415,3,20.0,8.450550436973572,0.010590818741712372,0.18370671570301056,0.3165507912635803,0.30221065878868103,0.8873158097267151,0.5586416721343994,0.4274284839630127,0.009596577601628888,8.437015533447266,7.348763229930503,True,4,196,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.18691876530647278,0.3139159083366394,0.305351197719574,0.8846838474273682,0.5585715174674988,0.4270627498626709
minimal-test-000506,0,2.0,1.1173903594414394,0.0035492741827123,0.20131073892116547,0.6996330618858337,0.37998270988464355,0.26383399963378906,0.6375566124916077,0.5206912159919739,0.00019946612223320699,0.5691624879837036,0.4306374929496829,True,7,385,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.20464220643043518,0.7040186524391174,0.38587677478790283,0.27036726474761963,0.6347338557243347,0.5185781121253967
minimal-test-000506,1,4.308869380063768,4.663936813672383,0.009775040224423104,0.236125186085701,0.6704169511795044,0.39626196026802063,0.2483254373073578,0.6398022174835205,0.48895519971847534,0.0008102131784086184,2.8848717212677,1.6424959997656787,True,14,441,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2110695242881775,0.679318904876709,0.4023602604866028,0.28552600741386414,0.6175592541694641,0.5071468949317932
minimal-test-000506,2,9.283177667225555,8.106269183258215,0.011094351956468863,0.18914130330085754,0.6862982511520386,0.4352247416973114,0.3637230694293976,0.6248193979263306,0.5619121789932251,0.010758445228581628,7.756804466247559,7.437611607193185,True,5,301,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.19832798838615417,0.6909144520759583,0.4356004595756531,0.3637024760246277,0.6210443377494812,0.5621822476387024
minimal-test-000506,3,20.0,17.644010374943417,0.01337503353056909,0.15001000463962555,0.6702890396118164,0.3188517689704895,0.35353177785873413,0.7106220722198486,0.6790032386779785,0.009213813895656302,12.186119079589844,12.42620194961671,True,13,448,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2091452181339264,0.7084110379219055,0.3003537356853485,0.35325977206230164,0.665364682674408,0.6330226063728333
minimal-test-000455,0,2.0,1.4805753727753956,0.0036261039342207475,0.2169036567211151,0.5024012923240662,0.199532151222229,0.7914855480194092,0.6506022810935974,0.3432988226413727,0.00025859792446390317,1.0208661556243896,0.5178930215414352,True,7,238,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.22830167412757874,0.4979778528213501,0.20384621620178223,0.7869045734405518,0.6546308398246765,0.3447127044200897
minimal-test-000455,1,4.308869380063768,2.562965559462706,0.010719327559455157,0.2434428185224533,0.4897893965244293,0.17775148153305054,0.8039591908454895,0.6583836674690247,0.37090688943862915,0.00044411821100989426,1.4705926179885864,1.2883284556903338,True,8,287,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.23215721547603607,0.483660489320755,0.18599313497543335,0.7982942461967468,0.6469884514808655,0.35195598006248474
