bin,frequency_cycles_per_pixel,amplitude,preprocessing
0,0.0,0.0019898753684902066,linear_detrend_then_hann
1,0.00625,0.012430169836924349,linear_detrend_then_hann
2,0.0125,0.03201986558654951,linear_detrend_then_hann
3,0.018750000000000003,0.032972099276869775,linear_detrend_then_hann
4,0.025,0.036932124487207875,linear_detrend_then_hann
5,0.03125,0.07010196680031691,linear_detrend_then_hann
6,0.037500000000000006,0.055298640699057613,linear_detrend_then_hann
7,0.043750000000000004,0.023080963313145835,linear_detrend_then_hann
8,0.05,0.021941388890456937,linear_detrend_then_hann
9,0.05625,0.056227687204466054,linear_detrend_then_hann
10,0.0625,0.07576066016094754,linear_detrend_then_hann
11,0.06875,0.032075455774987466,linear_detrend_then_hann
12,0.07500000000000001,0.000818210777124068,linear_detrend_then_hann
13,0.08125,0.0044286385689092204,linear_detrend_then_hann
14,0.08750000000000001,0.014161723049140425,linear_detrend_then_hann
15,0.09375,0.023312891194509883,linear_detrend_then_hann
16,0.1,0.010002629707974019,linear_detrend_then_hann
17,0.10625000000000001,0.0023830790310200183,linear_detrend_then_hann
18,0.1125,0.005050847949252357,linear_detrend_then_hann
19,0.11875000000000001,0.010376556272180875,linear_detrend_then_hann
20,0.125,0.008680250431810532,linear_detrend_then_hann
21,0.13125,0.005803479729399686,linear_detrend_then_hann
22,0.1375,0.0016243965331278606,linear_detrend_then_hann
23,0.14375000000000002,0.0005692146943381658,linear_detrend_then_hann
24,0.15000000000000002,0.0027909526260821256,linear_detrend_then_hann
25,0.15625,0.0051963890323855075,linear_detrend_then_hann
26,0.1625,0.00369634096542541,linear_detrend_then_hann
27,0.16875,0.00043406730209026746,linear_detrend_then_hann
28,0.17500000000000002,0.0009803944512248104,linear_detrend_then_hann
29,0.18125000000000002,0.00407829982464322,linear_detrend_then_hann
30,0.1875,0.009332163633477511,linear_detrend_then_hann
31,0.19375,0.005580430854003384,linear_detrend_then_hann
32,0.2,0.0007495285328389776,linear_detrend_then_hann
33,0.20625000000000002,0.0006731772828493467,linear_detrend_then_hann
34,0.21250000000000002,0.0015710689032985834,linear_detrend_then_hann
35,0.21875,0.0029826557734255405,linear_detrend_then_hann
36,0.225,0.000879877152266113,linear_detrend_then_hann
37,0.23125,0.0017529813820844513,linear_detrend_then_hann
38,0.23750000000000002,0.0022152428392890056,linear_detrend_then_hann
39,0.24375000000000002,0.002084037447662549,linear_detrend_then_hann
40,0.25,0.00042371787155202326,linear_detrend_then_hann
41,0.25625000000000003,0.001602627396665822,linear_detrend_then_hann
42,0.2625,0.0004587184496504144,linear_detrend_then_hann
43,0.26875,0.0009803747240167845,linear_detrend_then_hann
44,0.275,0.0020773311114907936,linear_detrend_then_hann
45,0.28125,0.002989884449645536,linear_detrend_then_hann
46,0.28750000000000003,0.0018756558220111336,linear_detrend_then_hann
47,0.29375,0.0004499925360149529,linear_detrend_then_hann
48,0.30000000000000004,0.0002331007006561208,linear_detrend_then_hann
49,0.30625,0.0006139976679472146,linear_detrend_then_hann
50,0.3125,0.0009750287466963049,linear_detrend_then_hann
51,0.31875000000000003,0.0007515853641486502,linear_detrend_then_hann
52,0.325,0.0005161224886246903,linear_detrend_then_hann
53,0.33125000000000004,0.00028335827709477583,linear_detrend_then_hann
54,0.3375,0.0006586424345476059,linear_detrend_then_hann
55,0.34375,0.0008793333852112227,linear_detrend_then_hann
56,0.35000000000000003,0.0004272624795751561,linear_detrend_then_hann
57,0.35625,5.247307330082363e-05,linear_detrend_then_hann
58,0.36250000000000004,0.0009743606263242571,linear_detrend_then_hann
59,0.36875,0.002578890703925104,linear_detrend_then_hann
60,0.375,0.0029128623483481273,linear_detrend_then_hann
61,0.38125000000000003,0.0014987824621737434,linear_detrend_then_hann
62,0.3875,0.0004740832371623189,linear_detrend_then_hann
63,0.39375000000000004,9.187239658846947e-05,linear_detrend_then_hann
64,0.4,0.0006990528066399457,linear_detrend_then_hann
65,0.40625,0.0016382904366452056,linear_detrend_then_hann
66,0.41250000000000003,0.0013907984629899384,linear_detrend_then_hann
67,0.41875,0.00025360481713086747,linear_detrend_then_hann
68,0.42500000000000004,0.000410714386902077,linear_detrend_then_hann
69,0.43125,0.0012090361489518933,linear_detrend_then_hann
70,0.4375,0.0015225186591980233,linear_detrend_then_hann
71,0.44375000000000003,0.000388301799925971,linear_detrend_then_hann
72,0.45,0.0005984339583737188,linear_detrend_then_hann
73,0.45625000000000004,0.0006038172418720633,linear_detrend_then_hann
74,0.4625,0.0004988457458063703,linear_detrend_then_hann
75,0.46875,0.00034868628012251266,linear_detrend_then_hann
76,0.47500000000000003,0.0005456373533570465,linear_detrend_then_hann
77,0.48125,0.0003147472225193664,linear_detrend_then_hann
78,0.48750000000000004,0.0007127152696175607,linear_detrend_then_hann
79,0.49375,0.0013983952111069368,linear_detrend_then_hann
80,0.5,0.0003579465046033958,linear_detrend_then_hann
