epoch,train_mse,val_mse,val_mae,lr
1.0,5665.7429677456985,947.6176851249036,30.782646574797454,0.001
2.0,966.2769603802834,0.21921262446744944,0.41069726355281877,0.001
3.0,0.5631090198494034,0.0722851147438273,0.2202496858290684,0.001
4.0,0.1600865545510142,0.04588566393947896,0.18567255514639394,0.001
5.0,0.0250601230626121,0.013624510095443255,0.10057651025277597,0.001
6.0,0.003429562446408342,0.004727997134129206,0.05952897513354266,0.001
7.0,0.0014753281756844602,0.0013636124167982259,0.03309936788347032,0.001
8.0,0.0002749991027586576,0.00022045640378362603,0.013952358269397124,0.001
9.0,0.00030357967084848587,0.0001851804696029213,0.011442177531159954,0.001
10.0,0.0017679691684603358,0.0028488394557095974,0.05181416582178187,0.001
11.0,0.0019441884574422866,5.174124804555358e-05,0.0056958885472497825,0.001
12.0,0.0013817808447106753,0.00010178439891509091,0.00858535865942637,0.001
13.0,0.001294069474902188,0.0011302425787657684,0.029511079376126514,0.001
14.0,0.0005942215131204805,9.103913940230591e-05,0.007197414099434276,0.001
15.0,0.00041724463553242616,0.0005523156127490011,0.0232167089426959,0.001
16.0,0.00033660796492498507,0.0006002526408360328,0.024307072162628174,0.0005
17.0,0.00034240444185769896,9.796675397938314e-06,0.0026312898890471755,0.0005
18.0,5.786564473470926e-05,9.986529214613794e-06,0.002434679185166771,0.0005
19.0,3.870644869931749e-05,2.870749728269099e-05,0.004474998992166401,0.0005
20.0,0.00010805035020400091,0.00018152089018437918,0.012980434997582141,0.0005
