period,residue,signal,mean_error,mae,std,mean_error_px,mae_px,std_px,count,std_definition
2,0,raw,0.012960953451693059,0.013113843463361263,0.005299578754826687,2.890292619727552,2.9243870923295616,1.181806062326351,80,sample_ddof1; count=1 written as 0; empty=nan
2,1,raw,0.012433755211532116,0.012565203942358494,0.005277190320259284,2.772727412171662,2.802040479145944,1.1768134414178202,80,sample_ddof1; count=1 written as 0; empty=nan
2,0,detrended,0.0002911037742850633,0.0036539707078304742,0.00470716195074323,0.06491614166556911,0.8148354678461956,1.0496971150157404,80,sample_ddof1; count=1 written as 0; empty=nan
2,1,detrended,-0.0002911037742850555,0.003502035619994761,0.004546651851242101,-0.06491614166556738,0.7809539432588317,1.0139033628269885,80,sample_ddof1; count=1 written as 0; empty=nan
4,0,raw,0.01338544562458992,0.013613931834697723,0.005490038370979381,2.9849543742835523,3.0359067991375923,1.2242785567284018,40,sample_ddof1; count=1 written as 0; empty=nan
4,1,raw,0.01227903924882412,0.012541936710476875,0.00571959697386976,2.7382257524877787,2.796851886436343,1.2754701251729568,40,sample_ddof1; count=1 written as 0; empty=nan
4,2,raw,0.012536461278796197,0.012613755092024804,0.0051362498632306864,2.795630865171552,2.812867385521531,1.145383719500443,40,sample_ddof1; count=1 written as 0; empty=nan
4,3,raw,0.012588471174240112,0.012588471174240112,0.0048629882179185915,2.807229071855545,2.807229071855545,1.084446372595846,40,sample_ddof1; count=1 written as 0; empty=nan
4,0,detrended,0.0007706052555911022,0.0036649861549230603,0.0046227707948973676,0.1718449719968158,0.8172919125478426,1.030877887262113,40,sample_ddof1; count=1 written as 0; empty=nan
4,1,detrended,-0.00039081042858387494,0.003850440770422794,0.005022173116660626,-0.08715072557420411,0.8586482918042831,1.1199446050153194,40,sample_ddof1; count=1 written as 0; empty=nan
4,2,detrended,-0.00018839770702097565,0.0036429552607378872,0.004800129272034351,-0.042012688665677575,0.8123790231445488,1.0704288276636602,40,sample_ddof1; count=1 written as 0; empty=nan
4,3,detrended,-0.00019139711998623598,0.003153630469566728,0.004078176435011679,-0.04268155775693059,0.7032595947133803,0.9094333450076043,40,sample_ddof1; count=1 written as 0; empty=nan
8,0,raw,0.013248661905527115,0.013705634325742722,0.006079436389987874,2.9544516049325464,3.056356454640627,1.355714314967296,20,sample_ddof1; count=1 written as 0; empty=nan
8,1,raw,0.01206664890050888,0.012564948201179505,0.006199185331325112,2.6908627048134806,2.8019834488630293,1.3824183288854999,20,sample_ddof1; count=1 written as 0; empty=nan
8,2,raw,0.012272415310144424,0.01242700293660164,0.0055970218139473485,2.736748614162207,2.7712216548621655,1.2481358645102587,20,sample_ddof1; count=1 written as 0; empty=nan
8,3,raw,0.012779840081930161,0.012779840081930161,0.005290065247122305,2.849904338270426,2.849904338270426,1.1796845501082742,20,sample_ddof1; count=1 written as 0; empty=nan
8,4,raw,0.013522229343652725,0.013522229343652725,0.004986827650330513,3.0154571436345576,3.0154571436345576,1.1120625660237045,20,sample_ddof1; count=1 written as 0; empty=nan
8,5,raw,0.012491429597139359,0.012518925219774246,0.005350186072140481,2.7855888001620768,2.791720324009657,1.1930914940873272,20,sample_ddof1; count=1 written as 0; empty=nan
8,6,raw,0.012800507247447968,0.012800507247447968,0.004762055185312411,2.8545131161808968,2.8545131161808968,1.0619383063246675,20,sample_ddof1; count=1 written as 0; empty=nan
8,7,raw,0.012397102266550063,0.012397102266550063,0.004525492840194342,2.764553805440664,2.764553805440664,1.0091849033633382,20,sample_ddof1; count=1 written as 0; empty=nan
8,0,detrended,0.0007438401533466504,0.0036669973072638576,0.004728493539308652,0.165876354196303,0.8177403995198403,1.0544540592658296,20,sample_ddof1; count=1 written as 0; empty=nan
8,1,detrended,-0.0004931821600807607,0.0036831851720287787,0.004921064344288152,-0.10997962169800964,0.8213502933624179,1.0973973487762578,20,sample_ddof1; count=1 written as 0; empty=nan
8,2,detrended,-0.00034242505885439335,0.003543579596473843,0.004606005813734914,-0.07636078812452973,0.790218250013667,1.0271392964628858,20,sample_ddof1; count=1 written as 0; empty=nan
8,3,detrended,0.00010999040452216568,0.003431087329813011,0.004355621360862944,0.024527860208442963,0.7651324745483014,0.9713035634724366,20,sample_ddof1; count=1 written as 0; empty=nan
8,4,detrended,0.0007973703578355538,0.003662975002582264,0.00463730500433722,0.17781358979732853,0.8168434255758446,1.0341190159672,20,sample_ddof1; count=1 written as 0; empty=nan
8,5,detrended,-0.00028843869708698966,0.004017696368816808,0.005247189119932356,-0.0643218294503987,0.8959462902461481,1.1701231737449151,20,sample_ddof1; count=1 written as 0; empty=nan
8,6,detrended,-3.437035518755772e-05,0.0037423309250019313,0.00510195484480343,-0.007664589206825378,0.8345397962754306,1.137735930391165,20,sample_ddof1; count=1 written as 0; empty=nan
8,7,detrended,-0.0004927846444946376,0.002876173609320445,0.0038698477423211915,-0.10989097572230415,0.6413867148784593,0.8629760465376257,20,sample_ddof1; count=1 written as 0; empty=nan
16,0,raw,0.01275714486837387,0.013671089708805085,0.007693005464302886,2.844843305647373,3.048653005063534,1.7155402185395439,10,sample_ddof1; count=1 written as 0; empty=nan
16,1,raw,0.011625760793685913,0.01262235939502716,0.007574294867317327,2.592544656991959,2.8147861450910567,1.689067755411764,10,sample_ddof1; count=1 written as 0; empty=nan
