period,residue,signal,mean_error,mae,std,mean_error_px,mae_px,std_px,count,std_definition
16,7,raw,0.0004489690065383911,0.0018411785364151,0.002392848088298609,0.10012008845806122,0.4105828136205673,0.5336051236905898,10,sample_ddof1; count=1 written as 0; empty=nan
16,8,raw,0.0011369481682777405,0.0017836377024650573,0.002123769381492954,0.2535394415259361,0.3977512076497078,0.47360057207292877,10,sample_ddof1; count=1 written as 0; empty=nan
16,9,raw,0.0013597056269645691,0.0016961917281150818,0.0017281520280221288,0.3032143548130989,0.37825075536966324,0.3853779022489347,10,sample_ddof1; count=1 written as 0; empty=nan
16,10,raw,0.0011699199676513672,0.001515662670135498,0.0014444993325303326,0.2608921527862549,0.33799277544021605,0.3221233511542642,10,sample_ddof1; count=1 written as 0; empty=nan
16,11,raw,0.0006834000349044799,0.0011914461851119996,0.0014097968884236398,0.15239820778369903,0.2656924992799759,0.31438470611847175,10,sample_ddof1; count=1 written as 0; empty=nan
16,12,raw,0.0005466446280479431,0.0010233327746391296,0.0012008988690511808,0.12190175205469131,0.2282032087445259,0.2678004477984133,10,sample_ddof1; count=1 written as 0; empty=nan
16,13,raw,0.00010265707969665527,0.0008239686489105224,0.0011407826210775717,0.022892528772354127,0.18374500870704652,0.2543945245002985,10,sample_ddof1; count=1 written as 0; empty=nan
16,14,raw,-0.0005922615528106689,0.0010290741920471191,0.0012131615285244667,-0.13207432627677917,0.22948354482650757,0.2705350208609561,10,sample_ddof1; count=1 written as 0; empty=nan
16,15,raw,-0.0011712536215782166,0.0012025222182273864,0.0011417656670357048,-0.2611895576119423,0.2681624546647072,0.2546137437489621,10,sample_ddof1; count=1 written as 0; empty=nan
16,0,detrended,-0.0009210854904964302,0.0017801030125649275,0.0020941850144398505,-0.2054020643807039,0.3969629718019788,0.46700325822008676,10,sample_ddof1; count=1 written as 0; empty=nan
16,1,detrended,-0.0012472596882614267,0.0014306246471212244,0.0011238538665008745,-0.27813891048229816,0.31902929630803295,0.250619412229695,10,sample_ddof1; count=1 written as 0; empty=nan
16,2,detrended,-0.0014477530221691536,0.0014477530221691536,0.0005694037706388623,-0.3228489239437212,0.3228489239437212,0.12697704085246628,10,sample_ddof1; count=1 written as 0; empty=nan
16,3,detrended,-0.0015285974822708808,0.0015285974822708808,0.0007112863179284145,-0.3408772385464064,0.3408772385464064,0.15861684889803646,10,sample_ddof1; count=1 written as 0; empty=nan
16,4,detrended,-0.0013750690285351751,0.0016196787221119079,0.0012936370539943474,-0.30664039336334403,0.36118835503095537,0.2884810630407395,10,sample_ddof1; count=1 written as 0; empty=nan
16,5,detrended,-0.0010980889246568,0.0017372671814676218,0.0017318991191943788,-0.24487383019846637,0.38741058146727964,0.3862135035803465,10,sample_ddof1; count=1 written as 0; empty=nan
16,6,detrended,-0.00016018420730262495,0.0017778814556687235,0.0022104024059875944,-0.03572107822848536,0.39646756461412536,0.4929197365352335,10,sample_ddof1; count=1 written as 0; empty=nan
16,7,detrended,0.0008945649853208676,0.001893657128779868,0.0023968944044310686,0.19948799172655343,0.42228553971791066,0.5345074521881283,10,sample_ddof1; count=1 written as 0; empty=nan
16,8,detrended,0.0015848481664201594,0.0019719325251363017,0.0021426088977775887,0.3534211411116956,0.43974095310539535,0.47780178420440217,10,sample_ddof1; count=1 written as 0; empty=nan
16,9,detrended,0.001809909644466931,0.0020436558236372254,0.0017214960118637176,0.4036098507161256,0.4557352486711014,0.38389361064560895,10,sample_ddof1; count=1 written as 0; empty=nan
16,10,detrended,0.0016224280045136715,0.0018887283925530663,0.0014371149886461274,0.3618014450065488,0.4211864315393338,0.3204766424680864,10,sample_ddof1; count=1 written as 0; empty=nan
16,11,detrended,0.001138212091126727,0.001545731915925237,0.0014007774550089096,0.25382129632126016,0.3446982172513279,0.3123733724669868,10,sample_ddof1; count=1 written as 0; empty=nan
16,12,detrended,0.0010037607036301331,0.0013400988135306533,0.0011858350998026458,0.2238386369095197,0.2988420354173357,0.26444122725599006,10,sample_ddof1; count=1 written as 0; empty=nan
