variant,source,stage,cumulative_stride,shift_px,comparison,alignment,feature_height,feature_width,overlap_height,overlap_feature_columns,normalized_l1,normalized_l2
baseline,trained_checkpoint,stem_pool,4,8,fractional_aligned,bilinear_fractional,56,56,56,54,1.374828229927516e-06,1.690534077170014e-06
baseline,trained_checkpoint,stem_pool,4,8,exact_integer,exact_integer,56,56,56,54,0.0,0.0
baseline,trained_checkpoint,layer1,4,8,raw_unaligned,none,56,56,56,56,0.49321624636650085,0.7032663226127625
baseline,trained_checkpoint,layer1,4,8,fractional_aligned,bilinear_fractional,56,56,56,54,0.0068769329227507114,0.00514006894081831
baseline,trained_checkpoint,layer1,4,8,exact_integer,exact_integer,56,56,56,54,0.00687602162361145,0.00514006894081831
baseline,trained_checkpoint,layer2,8,8,raw_unaligned,none,28,28,28,28,0.3943905532360077,0.6148065328598022
baseline,trained_checkpoint,layer2,8,8,fractional_aligned,bilinear_fractional,28,28,28,27,0.014329446479678154,0.012350945733487606
baseline,trained_checkpoint,layer2,8,8,exact_integer,exact_integer,28,28,28,27,0.014329340308904648,0.012350945733487606
baseline,trained_checkpoint,layer3,16,8,raw_unaligned,none,14,14,14,14,0.3092744052410126,0.4488621652126312
baseline,trained_checkpoint,layer3,16,8,fractional_aligned,bilinear_fractional,14,14,14,13,0.16189002990722656,0.23646989464759827
baseline,trained_checkpoint,layer4,32,8,raw_unaligned,none,7,7,7,7,0.20094163715839386,0.26108378171920776
baseline,trained_checkpoint,layer4,32,8,fractional_aligned,bilinear_fractional,7,7,7,6,0.1749332845211029,0.22411872446537018
baseline,trained_checkpoint,stem_conv,2,16,raw_unaligned,none,112,112,112,112,0.9584487676620483,1.2180922031402588
baseline,trained_checkpoint,stem_conv,2,16,fractional_aligned,bilinear_fractional,112,112,112,104,4.522039205312467e-07,1.0615462997520808e-06
baseline,trained_checkpoint,stem_conv,2,16,exact_integer,exact_integer,112,112,112,104,0.0,0.0
baseline,trained_checkpoint,stem_pool,4,16,raw_unaligned,none,56,56,56,56,1.095353603363037,1.122204065322876
baseline,trained_checkpoint,stem_pool,4,16,fractional_aligned,bilinear_fractional,56,56,56,52,1.3839816119798343e-06,1.6905469237826765e-06
baseline,trained_checkpoint,stem_pool,4,16,exact_integer,exact_integer,56,56,56,52,0.0,0.0
baseline,trained_checkpoint,layer1,4,16,raw_unaligned,none,56,56,56,56,0.8498198390007019,1.0681853294372559
baseline,trained_checkpoint,layer1,4,16,fractional_aligned,bilinear_fractional,56,56,56,52,0.0068328180350363255,0.005053909961134195
baseline,trained_checkpoint,layer1,4,16,exact_integer,exact_integer,56,56,56,52,0.006831894163042307,0.005053909961134195
baseline,trained_checkpoint,layer2,8,16,raw_unaligned,none,28,28,28,28,0.6859459280967712,0.9893633723258972
baseline,trained_checkpoint,layer2,8,16,fractional_aligned,bilinear_fractional,28,28,28,26,0.01370503194630146,0.011508512310683727
baseline,trained_checkpoint,layer2,8,16,exact_integer,exact_integer,28,28,28,26,0.013704882003366947,0.011508512310683727
baseline,trained_checkpoint,layer3,16,16,raw_unaligned,none,14,14,14,14,0.5626636147499084,0.7660874724388123
baseline,trained_checkpoint,layer3,16,16,fractional_aligned,bilinear_fractional,14,14,14,13,0.020660122856497765,0.02598670870065689
baseline,trained_checkpoint,layer3,16,16,exact_integer,exact_integer,14,14,14,13,0.020660005509853363,0.02598671242594719
baseline,trained_checkpoint,layer4,32,16,raw_unaligned,none,7,7,7,7,0.3564824163913727,0.4481607675552368
baseline,trained_checkpoint,layer4,32,16,fractional_aligned,bilinear_fractional,7,7,7,6,0.2351391762495041,0.28665614128112793
baseline,trained_checkpoint,stem_conv,2,32,raw_unaligned,none,112,112,112,112,1.241594672203064,1.4129796028137207
baseline,trained_checkpoint,stem_conv,2,32,fractional_aligned,bilinear_fractional,112,112,112,96,4.6528109010068874e-07,1.0616016652420512e-06
baseline,trained_checkpoint,stem_conv,2,32,exact_integer,exact_integer,112,112,112,96,0.0,0.0
baseline,trained_checkpoint,stem_pool,4,32,raw_unaligned,none,56,56,56,56,1.6328446865081787,1.4136521816253662
baseline,trained_checkpoint,stem_pool,4,32,fractional_aligned,bilinear_fractional,56,56,56,48,1.402656607751851e-06,1.6905732991290279e-06
baseline,trained_checkpoint,stem_pool,4,32,exact_integer,exact_integer,56,56,56,48,0.0,0.0
baseline,trained_checkpoint,layer1,4,32,raw_unaligned,none,56,56,56,56,1.281787633895874,1.3972432613372803
baseline,trained_checkpoint,layer1,4,32,fractional_aligned,bilinear_fractional,56,56,56,48,0.007012928370386362,0.0050545791164040565
baseline,trained_checkpoint,layer1,4,32,exact_integer,exact_integer,56,56,56,48,0.007011981215327978,0.0050545791164040565
baseline,trained_checkpoint,layer2,8,32,raw_unaligned,none,28,28,28,28,1.0475490093231201,1.3396261930465698
baseline,trained_checkpoint,layer2,8,32,fractional_aligned,bilinear_fractional,28,28,28,24,0.014022125862538815,0.011347324587404728
baseline,trained_checkpoint,layer2,8,32,exact_integer,exact_integer,28,28,28,24,0.01402196940034628,0.011347324587404728
baseline,trained_checkpoint,layer3,16,32,raw_unaligned,none,14,14,14,14,0.9349439740180969,1.16288161277771
baseline,trained_checkpoint,layer3,16,32,fractional_aligned,bilinear_fractional,14,14,14,12,0.01996879279613495,0.024545995518565178
baseline,trained_checkpoint,layer3,16,32,exact_integer,exact_integer,14,14,14,12,0.01996866799890995,0.024545997381210327
baseline,trained_checkpoint,layer4,32,32,raw_unaligned,none,7,7,7,7,0.6501731276512146,0.7985427379608154
baseline,trained_checkpoint,layer4,32,32,fractional_aligned,bilinear_fractional,7,7,7,6,0.0719030424952507,0.08561035245656967
baseline,trained_checkpoint,layer4,32,32,exact_integer,exact_integer,7,7,7,6,0.07190302759408951,0.08561035245656967
