variant,parameter_count,head_note,mae,rmse,max_abs_error,mae_px,rmse_px,max_abs_error_px,adjacent_step_mean_px,adjacent_step_mae_vs1_px,nonmonotonic_fraction,fft_amp_p2,fft_amp_p4,fft_amp_p8,fft_amp_p16,fft_amp_p32,fft_ratio_p2,fft_ratio_p4,fft_ratio_p8,fft_ratio_p16,fft_ratio_p32
baseline,11177025,GAP coordinate head,0.012839523144066334,0.013744448311626911,0.021869003772735596,2.8632137775421143,3.065011739730835,4.8767876625061035,1.0163010358810425,0.3133813738822937,0.006289308176100629,0.02382534142115954,0.019784561652623427,0.0019070414353427297,0.01330716654575653,0.15234075205810343,4.83404199677723,4.014188096027517,2.270964416359557,8.049168074614876,34.307681779066435
antialias,11177025,GAP coordinate head,0.0016087063122540712,0.0019477650057524443,0.005003035068511963,0.3587414622306824,0.4343515634536743,1.1156768798828125,0.9945650100708008,0.1327306628227234,0.0,0.0003579465046033958,0.00042371787155202326,0.008680250431810532,0.07576066016094754,0.07010196680031691,0.8900915855255588,1.4780282630717145,7.4608626255405515,54.17685898750839,50.404115812446115
no_gap,17599553,no_gap has a 512*7*7 flatten+MLP head (much higher capacity),0.0025370002258569,0.002993496134877205,0.006853699684143066,0.5657510161399841,0.6675496101379395,1.5283750295639038,0.9989452958106995,0.231587752699852,0.0,0.005668352526580239,0.02066286002149363,0.008486927383671452,0.028676830230854457,0.016023180100666827,3.2801500893966082,18.74078966043027,6.777489023916467,19.54815183732636,36.05737604689733
