period,target_frequency,nearest_bin,amplitude,local_peak_bin,local_peak_frequency,local_peak_amplitude,target_neighborhood_bins,noise_floor_median_amplitude,peak_noise_ratio,peak_energy_share_non_dc,global_nonzero_peak_frequency,global_nonzero_peak_amplitude,preprocessing
2,0.5,80,0.02382534142115954,80,0.5,0.02382534142115954,78-80,0.004928658343689086,4.83404199677723,0.007536337246488569,0.03125,0.15234075205810343,linear_detrend_then_hann
4,0.25,40,0.019784561652623427,40,0.25,0.019784561652623427,38-42,0.004928658343689086,4.014188096027517,0.00519678708388102,0.03125,0.15234075205810343,linear_detrend_then_hann
8,0.125,20,0.0019070414353427297,21,0.13125,0.011791290761691896,18-22,0.005192195296742601,2.270964416359557,0.0018458854921120078,0.03125,0.15234075205810343,linear_detrend_then_hann
16,0.0625,10,0.01330716654575653,9,0.05625,0.0357417422087991,8-12,0.0044404268711346565,8.049168074614876,0.0169602986387447,0.03125,0.15234075205810343,linear_detrend_then_hann
32,0.03125,5,0.15234075205810343,5,0.03125,0.15234075205810343,3-7,0.0044404268711346565,34.307681779066435,0.3081159987296498,0.03125,0.15234075205810343,linear_detrend_then_hann
